,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads
0,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2022-09-30 19:53:10,2022-09-19 08:17:31,1721.0,28.0,764.0,145.0,499.0,110.0,848.0,7406.0,2022-09-08 09:26:24,3.1.1,55.0,GraphQL framework for Python.,13831.0,13831.0,189.0,https://pypi.org/project/graphene,1416152.0,1416152.0,36,True,1,True,
1,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2022-09-26 14:36:04,2022-09-26 12:08:32,883.0,23.0,677.0,74.0,540.0,129.0,624.0,3929.0,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,8589.0,8589.0,199.0,https://pypi.org/project/graphene-django,386978.0,386978.0,34,True,2,True,
2,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2022-10-04 18:24:35,2022-10-03 20:27:39,2351.0,176.0,314.0,42.0,1606.0,230.0,331.0,2641.0,2022-10-03 13:17:18,0.133.5,100.0,A GraphQL library for Python that leverages type annotations.,654.0,654.0,154.0,https://pypi.org/project/strawberry,366.0,433.0,31,True,3,True,475.0
3,django-grappelli,sehmaschine/django-grappelli,django-grappelli,[],admin-interface,https://github.com/sehmaschine/django-grappelli,https://github.com/sehmaschine/django-grappelli,,2010-03-26 12:25:59,2022-09-14 09:57:08,2022-09-14 09:57:08,1868.0,4.0,635.0,97.0,317.0,4.0,682.0,3338.0,,,,A jazzy skin for the Django Admin-Interface (official repository).,5008.0,5008.0,82.0,https://pypi.org/project/django-grappelli,172850.0,172850.0,28,True,1,True,
4,django-fsm,viewflow/django-fsm,django-fsm,[],finite-state-machine,https://github.com/viewflow/django-fsm,https://github.com/viewflow/django-fsm,MIT,2010-05-31 14:03:48,2022-09-03 07:23:49,2022-08-15 10:45:43,336.0,2.0,250.0,43.0,137.0,18.0,135.0,2067.0,2022-03-25 12:30:10,2.8.0,4.0,Django friendly finite state machine support.,1133.0,1133.0,64.0,https://pypi.org/project/django-fsm,285477.0,285477.0,28,True,1,True,
5,django-ninja,vitalik/django-ninja,encode/django-rest-framework,[],restful-api,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2022-10-03 08:50:15,2022-09-20 13:30:30,699.0,64.0,214.0,58.0,161.0,118.0,259.0,3459.0,2022-07-20 15:41:41,0.19.1,25.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",,,64.0,https://pypi.org/project/encode/django-rest-framework,,,23,True,1,True,
6,strawberry-graphql-django,strawberry-graphql/strawberry-graphql-django,strawberry-graphql-django,[],graphql-api,https://github.com/strawberry-graphql/strawberry-graphql-django,https://github.com/strawberry-graphql/strawberry-graphql-django,MIT,2020-10-30 17:12:01,2022-10-01 14:26:05,2022-10-01 14:23:32,252.0,67.0,39.0,13.0,75.0,49.0,62.0,192.0,2022-10-01 14:25:47,0.5.3,7.0,Strawberry GraphQL Django extension.,,,28.0,https://pypi.org/project/strawberry-graphql-django,16482.0,16482.0,23,True,3,True,
7,django-concurrency,saxix/django-concurrency,django-concurrency,[],concurrent-data-access,https://github.com/saxix/django-concurrency,https://github.com/saxix/django-concurrency,MIT,2012-03-20 01:05:04,2022-08-04 10:49:36,2022-08-04 10:49:36,662.0,2.0,46.0,8.0,176.0,5.0,60.0,389.0,2022-03-04 14:07:54,2.4,2.0,Optimistic lock implementation for Django. Prevents users from doing concurrent editing.,,,24.0,https://pypi.org/project/django-concurrency,22256.0,22256.0,18,True,1,True,
8,django-optimistic-lock,gavinwahl/django-optimistic-lock,django-optimistic-lock,[],concurrent-data-access,https://github.com/gavinwahl/django-optimistic-lock,https://github.com/gavinwahl/django-optimistic-lock,BSD-2-Clause,2013-04-08 02:27:12,2020-11-22 15:50:03,2019-01-02 20:50:21,44.0,,20.0,2.0,8.0,1.0,4.0,109.0,,,,Offline optimistic locking for Django.,12.0,12.0,4.0,https://pypi.org/project/django-optimistic-lock,3767.0,3767.0,12,True,3,True,
9,django-locking,debrouwere/django-locking,django-locking,[],concurrent-data-access,https://github.com/debrouwere/django-locking,https://github.com/debrouwere/django-locking,,2010-06-01 20:20:54,2019-09-15 22:09:45,2012-02-15 16:11:21,21.0,,13.0,4.0,9.0,,,136.0,,,,"Prevents users from doing concurrent editing in Django. Works out of the box in the admin interface, or you can..",4.0,4.0,3.0,https://pypi.org/project/django-locking,14.0,14.0,7,True,3,True,
10,django-rest-framework,django-rest-framework,django-rest-framework,[],restful-api,,,,,,,,,,,,,,,,,,,,,,https://pypi.org/project/django-rest-framework,72202.0,72202.0,5,False,3,True,
