,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,new_addition,github_release_downloads,trending
0,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2022-10-06 17:58:39,2022-10-05 21:18:49,13946,610.0,2707,330,5197,800.0,3168.0,12820,2022-09-23 11:29:35,4.0.2,100.0,A Django content management system focused on flexibility and user experience.,7200.0,7200.0,707,https://pypi.org/project/wagtail,124928,124928,42,True,1,,,
1,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2022-10-05 10:02:00,2022-10-05 10:02:00,8590,41.0,6136,615,4408,96.0,3675.0,24218,2021-05-31 07:29:11,3.12.4,14.0,Web APIs for Django.,370944.0,370944.0,1299,https://pypi.org/project/django-rest-framework,73837,73837,41,True,1,,,
2,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2022-10-06 08:32:42,2022-10-06 08:32:42,12012,40.0,4198,477,2699,513.0,4236.0,20197,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,76630.0,76630.0,1241,https://pypi.org/project/celery,6294232,6294232,41,True,1,,,
3,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2022-10-05 07:30:38,2022-09-14 16:12:22,2466,14.0,2555,191,1282,307.0,1569.0,7490,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",105768.0,105768.0,598,https://pypi.org/project/django-allauth,591516,591516,38,True,1,True,,
4,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2022-09-09 11:10:16,2022-09-09 11:10:06,3601,15.0,1070,105,939,121.0,705.0,5881,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,107554.0,107554.0,568,https://pypi.org/project/django-extensions,2066469,2066469,38,True,1,,,
5,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2022-10-05 13:16:16,2022-09-27 08:54:04,16043,11.0,2740,411,3971,115.0,3282.0,8911,,,,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4538.0,4538.0,609,https://pypi.org/project/django-cms,73229,73229,37,True,3,,,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2022-10-02 10:00:16,2022-10-01 09:48:30,1668,26.0,1289,212,712,186.0,795.0,8537,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11111.0,11111.0,272,https://pypi.org/project/rq,831372,831372,37,True,2,,,
7,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2022-09-30 19:53:10,2022-09-19 08:17:31,1721,28.0,763,145,499,110.0,848.0,7405,2022-09-08 09:26:24,3.1.1,55.0,GraphQL framework for Python.,13850.0,13850.0,189,https://pypi.org/project/graphene,1496521,1496521,36,True,1,,,
8,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2022-09-26 18:31:06,2022-09-25 23:55:42,2405,33.0,848,107,870,73.0,735.0,7205,2022-09-25 16:02:28,3.7,10.0,A configurable set of panels that display various debug information about the current request/response.,56061.0,56061.0,259,https://pypi.org/project/django-debug-toolbar,1593568,1593569,36,True,1,,178.0,
9,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2022-10-01 11:01:25,2022-09-30 12:03:09,8823,15.0,1923,266,2546,135.0,1294.0,5473,2021-07-29 04:15:39,3.1,4.0,Domain-driven e-commerce for Django.,904.0,904.0,333,https://pypi.org/project/django-oscar,17285,17285,35,True,1,,,
