,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,license,github_release_downloads
0,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2022-10-31 17:04:05,2022-10-30 14:41:37,12044,58.0,4201,476,2742,517.0,4245.0,20344,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,77904.0,77904.0,1244,https://pypi.org/project/celery,5864999,5864999,43,True,1,2.0,,
1,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2022-10-30 07:13:10,2022-10-20 14:32:25,8602,49.0,6164,616,4425,95.0,3687.0,24381,2021-05-31 07:29:11,3.12.4,14.0,Web APIs for Django.,381487.0,381487.0,1308,https://pypi.org/project/django-rest-framework,69268,69268,42,True,1,1.0,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2022-10-31 23:09:58,2022-10-31 23:09:58,14085,555.0,2807,339,5359,810.0,3243.0,13402,2022-10-18 12:38:09,4.0.4,100.0,A Django content management system focused on flexibility and user experience.,7333.0,7333.0,741,https://pypi.org/project/wagtail,114071,114071,42,True,1,,BSD-3-Clause,
3,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52,2022-10-22 06:54:56,2022-10-22 06:54:56,2467,15.0,2569,192,1283,312.0,1572.0,7542,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",110181.0,110181.0,599,https://pypi.org/project/django-allauth,562299,562299,38,True,1,,MIT,
4,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2022-10-29 14:29:42,2022-09-09 11:10:06,3601,14.0,1071,104,940,121.0,706.0,5902,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,112116.0,112116.0,568,https://pypi.org/project/django-extensions,1959235,1959235,38,True,1,,MIT,
5,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,2009-03-05 10:14:18,2022-10-31 18:07:48,2022-10-30 08:37:07,16059,24.0,2749,409,3990,105.0,3293.0,8941,,,,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4562.0,4562.0,614,https://pypi.org/project/django-cms,62783,62783,37,True,3,,BSD-3-Clause,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2022-10-20 17:23:11,2022-10-13 23:51:18,1669,14.0,1296,212,715,186.0,799.0,8587,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11267.0,11267.0,272,https://pypi.org/project/rq,667046,667046,37,True,2,,,
7,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,2015-09-24 09:18:18,2022-10-27 13:06:56,2022-10-27 11:55:38,1723,28.0,766,144,501,111.0,851.0,7432,2022-09-08 09:26:24,3.1.1,55.0,GraphQL framework for Python.,14047.0,14047.0,191,https://pypi.org/project/graphene,1456555,1456555,36,True,1,,MIT,
8,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2022-10-31 18:41:51,2022-10-28 06:56:27,2412,27.0,852,107,878,74.0,740.0,7246,2022-09-25 16:02:28,3.7,10.0,A configurable set of panels that display various debug information about the current request/response.,56961.0,56961.0,260,https://pypi.org/project/django-debug-toolbar,1487554,1487555,36,True,1,,BSD-3-Clause,178.0
9,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,2010-12-08 21:30:32,2022-10-27 08:29:30,2022-10-27 08:29:27,8828,20.0,1931,266,2552,134.0,1298.0,5501,2021-07-29 04:15:39,3.1,4.0,Domain-driven e-commerce for Django.,912.0,912.0,333,https://pypi.org/project/django-oscar,16732,16732,35,True,1,,BSD-3-Clause,
10,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,2013-04-02 13:50:07,2022-10-10 17:30:45,2022-06-15 09:59:27,517,,272,36,213,58.0,153.0,2645,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,99653.0,99653.0,76,https://pypi.org/project/django-environ,1054027,1054027,35,True,1,,MIT,5.0
11,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,2016-09-17 23:26:25,2022-10-31 12:58:07,2022-10-19 14:10:30,885,25.0,681,73,545,130.0,625.0,3943,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,8718.0,8718.0,199,https://pypi.org/project/graphene-django,318995,318995,34,True,2,,MIT,
12,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,2013-02-12 16:46:39,2022-10-31 15:36:02,2022-10-31 12:52:45,20030,205.0,4653,386,6830,293.0,3011.0,17128,2022-10-31 13:53:40,3.8.2,100.0,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.",1.0,1.0,255,https://pypi.org/project/saleor,21,21,32,True,2,1.0,BSD-3-Clause,
13,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,2018-12-21 08:56:55,2022-11-01 00:13:01,2022-10-31 23:14:20,2405,180.0,326,41,1663,210.0,365.0,2701,2022-10-31 15:04:21,0.138.1,100.0,A GraphQL library for Python that leverages type annotations.,725.0,725.0,159,https://pypi.org/project/strawberry,323,380,31,True,2,,MIT,401.0
