,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
0,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2022-12-17 11:56:44,2022-12-10 16:50:41,8639.0,70.0,6216,618.0,4451.0,74.0,3717.0,24644,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,405298.0,405298.0,1332.0,https://pypi.org/project/django-rest-framework,71612,71612,43,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2022-12-19 18:08:13,2022-12-19 18:08:09,12093.0,90.0,4223,476.0,2796.0,525.0,4260.0,20664,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,81056.0,81056.0,1255.0,https://pypi.org/project/celery,5521717,5521717,43,True,1,,,,,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2022-12-19 15:34:39,2022-12-19 14:05:41,14291.0,455.0,2853,337.0,5484.0,825.0,3334.0,13695,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,7544.0,7544.0,767.0,https://pypi.org/project/wagtail,117247,117247,42,True,1,BSD-3-Clause,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,2009-03-05 10:14:18,2022-12-16 07:26:46,2022-12-12 17:33:09,16065.0,23.0,2772,409.0,4014.0,103.0,3300.0,9046,2022-12-13 14:27:49,3.11.1,2.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4627.0,4627.0,615.0,https://pypi.org/project/django-cms,40828,40828,39,True,3,BSD-3-Clause,,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52,2022-12-18 21:08:45,2022-12-15 18:04:02,2489.0,23.0,2594,190.0,1300.0,273.0,1634.0,7638,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",120696.0,120696.0,612.0,https://pypi.org/project/django-allauth,554864,554864,38,True,1,MIT,,,,,
5,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2022-12-19 17:02:32,2022-11-28 23:15:15,1675.0,17.0,1307,214.0,726.0,189.0,804.0,8669,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11642.0,11642.0,275.0,https://pypi.org/project/rq,718299,718299,37,True,2,,,,,,
6,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2022-12-19 18:49:28,2022-12-17 20:04:06,2434.0,33.0,863,107.0,899.0,75.0,748.0,7297,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,59081.0,59081.0,263.0,https://pypi.org/project/django-debug-toolbar,1520139,1520140,37,True,1,BSD-3-Clause,178.0,,,,
7,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2022-12-13 10:07:36,2022-09-09 11:10:06,3601.0,,1076,104.0,945.0,129.0,707.0,5956,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,122170.0,122170.0,568.0,https://pypi.org/project/django-extensions,1902789,1902789,37,True,1,MIT,,-1.0,,,
8,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,2015-09-24 09:18:18,2022-12-16 09:39:59,2022-12-11 20:05:25,1734.0,13.0,770,145.0,510.0,104.0,864.0,7497,2022-12-11 20:07:51,3.2.1,57.0,GraphQL framework for Python.,14583.0,14583.0,194.0,https://pypi.org/project/graphene,1772970,1772970,36,True,1,MIT,,,,,
9,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,2010-12-08 21:30:32,2022-12-16 12:51:14,2022-12-06 08:55:30,8841.0,24.0,1951,267.0,2579.0,139.0,1300.0,5558,2021-07-29 04:15:39,3.1,4.0,Domain-driven e-commerce for Django.,940.0,940.0,335.0,https://pypi.org/project/django-oscar,16809,16809,35,True,1,BSD-3-Clause,,,,,
10,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,2016-09-17 23:26:25,2022-12-19 18:13:54,2022-11-22 22:16:14,888.0,25.0,692,72.0,552.0,137.0,626.0,3987,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,9010.0,9010.0,201.0,https://pypi.org/project/graphene-django,303729,303729,34,True,2,MIT,,,,,
11,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,2013-04-02 13:50:07,2022-12-13 18:22:18,2022-06-15 09:59:27,517.0,,276,36.0,216.0,58.0,154.0,2670,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,111024.0,111024.0,76.0,https://pypi.org/project/django-environ,1072069,1072069,34,True,1,MIT,7.0,,,,
12,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,2020-05-19 08:48:53,2022-12-19 18:18:01,2022-12-19 12:36:53,738.0,38.0,233,61.0,174.0,136.0,278.0,3765,2022-12-17 15:27:31,0.20.0,26.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",905.0,905.0,70.0,https://pypi.org/project/django-ninja,60219,60219,32,True,3,MIT,,,,,
13,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,2018-12-21 08:56:55,2022-12-19 18:15:52,2022-12-19 17:24:04,2497.0,185.0,338,44.0,1731.0,228.0,379.0,2809,2022-12-13 16:01:44,0.151.0,100.0,A GraphQL library for Python that leverages type annotations.,864.0,864.0,166.0,https://pypi.org/project/strawberry,316,378,32,True,2,MIT,377.0,,,,
14,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,2012-05-15 10:21:58,2022-11-19 11:25:44,2022-11-19 09:20:48,578.0,10.0,253,28.0,258.0,72.0,233.0,1595,2022-11-05 02:02:30,2.6.0,7.0,A simple app that provides django integration for RQ (Redis Queue).,2166.0,2166.0,110.0,https://pypi.org/project/django-rq,151814,151814,32,True,3,MIT,,,,,
15,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,2013-02-12 16:46:39,2022-12-19 18:45:03,2022-12-19 14:10:24,20113.0,172.0,4704,388.0,7132.0,327.0,3037.0,17666,2022-12-16 12:06:13,3.9.5,100.0,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.",2.0,2.0,259.0,https://pypi.org/project/saleor,22,22,31,True,2,BSD-3-Clause,,,,,
16,django-jazzmin,farridav/django-jazzmin,django-jazzmin,[],admin-interface,https://github.com/farridav/django-jazzmin,https://github.com/farridav/django-jazzmin,2020-05-11 19:50:44,2022-12-14 19:06:24,2022-11-03 13:11:18,1029.0,20.0,184,33.0,245.0,75.0,137.0,1172,2022-11-03 13:23:16,2.6.0,28.0,Jazzy theme for Django.,2616.0,2616.0,61.0,https://pypi.org/project/django-jazzmin,60747,60747,31,True,1,MIT,,5.0,,,
17,django-q,Koed00/django-q,django-q,[],task-queues,https://github.com/Koed00/django-q,https://github.com/Koed00/django-q,2015-06-14 12:37:08,2022-12-09 05:54:42,2021-06-26 12:04:16,1246.0,,216,55.0,307.0,259.0,145.0,1655,2021-06-10 16:52:14,1.3.9,78.0,A multiprocessing distributed task queue for Django.,1075.0,1075.0,62.0,https://pypi.org/project/django-q,68706,68706,30,True,3,MIT,,6.0,,,
18,django-constance,jazzband/django-constance,django-constance,[],configuration,https://github.com/jazzband/django-constance,https://github.com/jazzband/django-constance,2010-09-20 12:42:29,2022-12-01 10:58:35,2022-10-13 17:16:31,623.0,3.0,278,33.0,247.0,30.0,229.0,1516,2022-08-11 11:56:06,2.9.1,1.0,Dynamic Django settings.,1217.0,1217.0,137.0,https://pypi.org/project/django-constance,163068,163068,30,True,2,BSD-3-Clause,,,,,
