,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,new_addition,gitlab_id,gitlab_url
0,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2022-12-24 03:33:29,2022-12-10 16:50:41,8639.0,54.0,6225,619.0,4456.0,70.0,3723.0,24667,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,408628.0,408628.0,1332.0,https://pypi.org/project/django-rest-framework,73017,73017,43,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2022-12-25 15:04:41,2022-12-25 15:04:37,12099.0,91.0,4229,476.0,2802.0,527.0,4262.0,20693,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,81565.0,81565.0,1257.0,https://pypi.org/project/celery,5399504,5399504,43,True,1,,,,,,
2,pydantic,pydantic/pydantic,pydantic,[],restful-api,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,2017-05-03 21:23:58,2022-12-26 11:04:48,2022-12-21 12:10:48,1476.0,40.0,1097,87.0,1804.0,540.0,1568.0,11985,2022-09-05 17:59:59,1.10.2,92.0,Data parsing and validation using Python type hints.,121897.0,121897.0,335.0,https://pypi.org/project/pydantic,41877942,41877942,43,True,1,MIT,1.0,,,,
3,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2022-12-25 17:18:33,2022-12-19 14:05:41,14291.0,414.0,2865,338.0,5495.0,827.0,3335.0,13735,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,7584.0,7584.0,767.0,https://pypi.org/project/wagtail,114982,114982,42,True,1,BSD-3-Clause,,,,,
4,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,2009-03-05 10:14:18,2022-12-24 17:07:40,2022-12-24 17:07:25,16067.0,24.0,2772,411.0,4016.0,105.0,3300.0,9057,2022-12-13 14:27:49,3.11.1,2.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4632.0,4632.0,615.0,https://pypi.org/project/django-cms,40562,40562,39,True,3,BSD-3-Clause,,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52,2022-12-23 14:39:09,2022-12-23 14:38:34,2499.0,33.0,2596,191.0,1301.0,275.0,1635.0,7653,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",122034.0,122034.0,615.0,https://pypi.org/project/django-allauth,536243,536243,38,True,1,MIT,,,,,
6,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2022-12-19 18:49:28,2022-12-17 20:04:06,2434.0,29.0,864,107.0,899.0,76.0,748.0,7305,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,59344.0,59344.0,263.0,https://pypi.org/project/django-debug-toolbar,1499046,1499047,37,True,1,BSD-3-Clause,,178.0,,,
7,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2022-12-25 21:50:04,2022-12-25 21:14:22,3606.0,5.0,1077,104.0,947.0,127.0,709.0,5963,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,123475.0,123475.0,571.0,https://pypi.org/project/django-extensions,1860196,1860196,37,True,1,MIT,,,,,
8,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2022-12-25 13:06:36,2022-11-28 23:15:15,1675.0,9.0,1307,214.0,727.0,190.0,804.0,8675,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11694.0,11694.0,275.0,https://pypi.org/project/rq,708225,708225,36,True,2,,-1.0,,,,
9,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,2015-09-24 09:18:18,2022-12-25 21:59:06,2022-12-25 21:59:05,1736.0,15.0,769,144.0,511.0,104.0,864.0,7506,2022-12-11 20:07:51,3.2.1,57.0,GraphQL framework for Python.,14661.0,14661.0,196.0,https://pypi.org/project/graphene,1904529,1904529,36,True,1,MIT,,,,,
10,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,2010-12-08 21:30:32,2022-12-23 15:47:44,2022-12-23 15:46:03,8844.0,25.0,1953,267.0,2579.0,140.0,1300.0,5572,2022-12-23 15:54:06,3.2,5.0,Domain-driven e-commerce for Django.,943.0,943.0,335.0,https://pypi.org/project/django-oscar,17491,17491,36,True,1,BSD-3-Clause,1.0,,,,
11,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,2011-03-06 22:42:19,2022-12-23 17:01:08,2022-12-09 22:08:34,1152.0,40.0,388,37.0,591.0,106.0,387.0,1741,2022-09-28 13:53:24,3.2.0,33.0,Store model history and view/revert changes from admin site.,3409.0,3409.0,168.0,https://pypi.org/project/django-simple-history,632800,632800,35,True,1,BSD-3-Clause,,,,,
12,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,2010-05-31 15:32:25,2022-11-21 15:02:05,2022-11-12 14:44:37,1490.0,8.0,445,57.0,301.0,15.0,614.0,2814,2022-11-12 14:45:12,5.0.4,8.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,6606.0,6606.0,185.0,https://pypi.org/project/django-reversion,202766,202766,34,True,2,BSD-3-Clause,-1.0,,,,
13,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,2013-04-02 13:50:07,2022-12-22 17:03:26,2022-06-15 09:59:27,517.0,,277,36.0,217.0,58.0,154.0,2671,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,112535.0,112535.0,76.0,https://pypi.org/project/django-environ,1048108,1048108,34,True,1,MIT,,7.0,,,
14,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,2016-09-17 23:26:25,2022-12-24 22:09:13,2022-12-24 22:09:13,889.0,6.0,693,72.0,554.0,137.0,626.0,3991,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,9038.0,9038.0,202.0,https://pypi.org/project/graphene-django,299541,299541,33,True,2,MIT,-1.0,,,,
15,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,2018-12-21 08:56:55,2022-12-25 03:30:13,2022-12-23 16:35:16,2504.0,172.0,340,43.0,1737.0,229.0,381.0,2824,2022-12-23 16:35:36,0.151.2,100.0,A GraphQL library for Python that leverages type annotations.,880.0,880.0,168.0,https://pypi.org/project/strawberry,303,366,32,True,2,MIT,,380.0,,,
16,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,2012-05-15 10:21:58,2022-11-19 11:25:44,2022-11-19 09:20:48,578.0,10.0,254,28.0,258.0,72.0,233.0,1596,2022-11-05 02:02:30,2.6.0,7.0,A simple app that provides django integration for RQ (Redis Queue).,2181.0,2181.0,110.0,https://pypi.org/project/django-rq,145355,145355,32,True,3,MIT,,,,,
17,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,2013-02-12 16:46:39,2022-12-26 08:04:21,2022-12-21 13:02:59,20119.0,168.0,4716,387.0,7160.0,329.0,3040.0,17703,2022-12-21 11:07:46,3.9.7,100.0,"A modular, high performance, headless e-commerce platform built with Python, GraphQL, Django, and React.",2.0,2.0,259.0,https://pypi.org/project/saleor,22,22,31,True,2,BSD-3-Clause,,,,,
