,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-01-01 21:06:46,2023-01-01 21:06:45,1487.0,51.0,1098.0,86.0,1815.0,531.0,1584.0,12055.0,2022-12-30 09:59:41,1.10.4,94.0,Data parsing and validation using Python type hints.,123873.0,123873.0,336.0,https://pypi.org/project/pydantic,40179142.0,40179142.0,44,True,1,,,,,
1,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-01-02 03:44:56,2022-12-10 16:50:41,8639.0,50.0,6229.0,618.0,4458.0,71.0,3724.0,24708.0,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,411689.0,411689.0,1332.0,https://pypi.org/project/django-rest-framework,68048.0,68048.0,43,True,1,,,,,
2,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2022-12-29 14:33:48,2022-12-26 18:31:19,12100.0,91.0,4229.0,475.0,2804.0,527.0,4262.0,20717.0,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,82025.0,82025.0,1257.0,https://pypi.org/project/celery,4881623.0,4881623.0,43,True,1,,,,,
3,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-01-01 21:39:02,2022-12-27 22:15:10,14294.0,377.0,2873.0,340.0,5504.0,829.0,3337.0,13767.0,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,7624.0,7624.0,768.0,https://pypi.org/project/wagtail,99173.0,99173.0,42,True,1,,,,,
4,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-01-01 10:45:40,2022-12-29 13:03:36,16070.0,27.0,2775.0,412.0,4020.0,103.0,3303.0,9063.0,2022-12-13 14:27:49,3.11.1,3.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4649.0,4649.0,615.0,https://pypi.org/project/django-cms,38946.0,38946.0,39,True,3,,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2022-12-31 22:51:12,2022-12-29 20:19:15,2505.0,39.0,2603.0,191.0,1304.0,272.0,1642.0,7666.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",123312.0,123312.0,615.0,https://pypi.org/project/django-allauth,485699.0,485699.0,38,True,1,,,,,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2022-12-28 23:59:07,2022-12-28 23:58:58,1678.0,10.0,1307.0,214.0,727.0,190.0,804.0,8684.0,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11756.0,11756.0,277.0,https://pypi.org/project/rq,604347.0,604347.0,37,True,2,,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2022-12-28 15:37:34,2022-12-28 15:31:57,2436.0,31.0,865.0,107.0,900.0,75.0,749.0,7314.0,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,59624.0,59624.0,264.0,https://pypi.org/project/django-debug-toolbar,1331295.0,1331296.0,37,True,1,178.0,,,,
8,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2022-12-27 10:29:07,2022-12-27 10:29:07,3607.0,6.0,1077.0,104.0,948.0,127.0,709.0,5969.0,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,124724.0,124724.0,571.0,https://pypi.org/project/django-extensions,1631611.0,1631611.0,37,True,1,,,,,
9,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2022-12-29 06:30:17,2022-12-25 21:59:05,1736.0,15.0,771.0,144.0,512.0,104.0,864.0,7514.0,2022-12-11 20:07:51,3.2.1,57.0,GraphQL framework for Python.,14752.0,14752.0,196.0,https://pypi.org/project/graphene,1732888.0,1732888.0,36,True,1,,,,,
10,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-01-01 11:01:18,2022-12-23 15:46:03,8844.0,21.0,1957.0,267.0,2585.0,140.0,1300.0,5575.0,2022-12-23 15:54:06,3.2,5.0,Domain-driven e-commerce for Django.,948.0,948.0,335.0,https://pypi.org/project/django-oscar,15503.0,15503.0,36,True,1,,,,,
11,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2022-12-30 17:01:00,2022-12-09 22:08:34,1152.0,35.0,387.0,38.0,596.0,106.0,387.0,1749.0,2022-09-28 13:53:24,3.2.0,33.0,Store model history and view/revert changes from admin site.,3433.0,3433.0,168.0,https://pypi.org/project/django-simple-history,568978.0,568978.0,35,True,1,,,,,
12,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2022-12-29 13:46:46,2022-11-12 14:44:37,1490.0,5.0,445.0,57.0,302.0,15.0,614.0,2816.0,2022-11-12 14:45:12,5.0.4,8.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,6629.0,6629.0,185.0,https://pypi.org/project/django-reversion,180414.0,180414.0,34,True,2,,,,,
13,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2022-12-22 17:03:26,2022-06-15 09:59:27,517.0,,277.0,36.0,217.0,58.0,154.0,2673.0,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,113965.0,113965.0,76.0,https://pypi.org/project/django-environ,939769.0,939769.0,34,True,1,7.0,,,,
14,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2022-12-24 22:09:13,2022-12-24 22:09:13,889.0,6.0,693.0,72.0,554.0,137.0,626.0,3994.0,2022-09-26 12:12:07,3.0.0,41.0,Integrate GraphQL into your Django project.,9080.0,9080.0,202.0,https://pypi.org/project/graphene-django,261984.0,261984.0,33,True,2,,,,,
