,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-01-09 16:16:02,2023-01-09 16:16:01,1491.0,51.0,1103.0,85.0,1822.0,537.0,1595.0,12114.0,2022-12-30 09:59:41,1.10.4,94.0,Data parsing and validation using Python type hints.,125965.0,125965.0,337.0,https://pypi.org/project/pydantic,40204101.0,40204101.0,44,True,1,,,,,
1,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-01-09 17:34:01,2023-01-04 19:21:57,8646.0,53.0,6239.0,619.0,4460.0,70.0,3727.0,24748.0,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,415317.0,415317.0,1334.0,https://pypi.org/project/django-rest-framework,67519.0,67519.0,43,True,1,,,,,
2,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-01-09 14:44:13,2023-01-04 17:41:42,12103.0,91.0,4235.0,475.0,2810.0,527.0,4264.0,20752.0,2022-08-01 11:20:41,5.3.0b1,37.0,Distributed Task Queue (development branch).,82537.0,82537.0,1257.0,https://pypi.org/project/celery,4679454.0,4679454.0,43,True,1,,,,,
3,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-01-09 17:38:59,2023-01-09 14:14:53,14319.0,368.0,2875.0,341.0,5520.0,829.0,3347.0,13799.0,2022-11-11 17:17:59,4.1.1,100.0,A Django content management system focused on flexibility and user experience.,7643.0,7643.0,772.0,https://pypi.org/project/wagtail,94447.0,94447.0,42,True,1,,,,,
4,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-01-06 19:56:03,2023-01-06 19:55:26,16072.0,24.0,2778.0,413.0,4025.0,103.0,3303.0,9073.0,2022-12-13 14:27:49,3.11.1,3.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4663.0,4663.0,615.0,https://pypi.org/project/django-cms,39478.0,39478.0,39,True,3,,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2023-01-09 16:00:27,2023-01-02 12:14:18,2506.0,40.0,2606.0,191.0,1306.0,268.0,1646.0,7681.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",124871.0,124871.0,615.0,https://pypi.org/project/django-allauth,470193.0,470193.0,38,True,1,,,,,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-01-08 06:11:35,2023-01-08 06:11:33,1679.0,11.0,1304.0,214.0,728.0,188.0,807.0,8702.0,2022-09-25 08:03:45,1.11.1,21.0,Simple job queues for Python.,11832.0,11832.0,277.0,https://pypi.org/project/rq,556605.0,556605.0,37,True,2,,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-01-02 19:01:53,2022-12-28 15:31:57,2436.0,31.0,867.0,107.0,901.0,74.0,751.0,7319.0,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,59931.0,59931.0,264.0,https://pypi.org/project/django-debug-toolbar,1241096.0,1241097.0,37,True,1,178.0,,,,
8,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2022-12-27 10:29:07,2022-12-27 10:29:07,3607.0,6.0,1078.0,104.0,948.0,128.0,709.0,5973.0,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,126221.0,126221.0,571.0,https://pypi.org/project/django-extensions,1542008.0,1542008.0,37,True,1,,,,,
9,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-01-06 21:55:55,2022-12-25 21:59:05,1736.0,15.0,772.0,144.0,513.0,103.0,866.0,7524.0,2022-12-11 20:07:51,3.2.1,57.0,GraphQL framework for Python.,14864.0,14864.0,196.0,https://pypi.org/project/graphene,1732302.0,1732302.0,36,True,1,,,,,
