,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-02-28 23:29:45,2023-02-24 16:36:21,1522.0,55.0,1141.0,90.0,1880.0,579.0,1651.0,12640.0,2023-02-15 17:46:07,1.10.5,95.0,Data validation using Python type hints.,164565.0,164565.0,349.0,https://pypi.org/project/pydantic,52832337.0,52832337.0,44,True,1,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-02-28 12:53:47,2023-02-26 12:46:25,12130.0,53.0,4259.0,475.0,2852.0,537.0,4277.0,21016.0,2023-02-19 11:47:50,5.3.0b2,38.0,Distributed Task Queue (development branch).,95898.0,95898.0,1265.0,https://pypi.org/project/celery,5957647.0,5957647.0,43,True,1,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-02-28 16:05:08,2023-02-28 16:02:12,8658.0,28.0,6294.0,616.0,4481.0,73.0,3734.0,25055.0,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,447523.0,447523.0,1341.0,https://pypi.org/project/django-rest-framework,89691.0,89691.0,42,True,1,-1.0,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-02-24 09:36:21,2023-02-13 10:19:49,16083.0,20.0,2792.0,406.0,4052.0,96.0,3318.0,9152.0,2022-12-13 14:27:49,3.11.1,3.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4751.0,4751.0,620.0,https://pypi.org/project/django-cms,41360.0,41360.0,39,True,1,,,,
4,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-02-28 20:25:55,2023-02-27 23:03:47,1721.0,46.0,1320.0,209.0,778.0,134.0,894.0,8784.0,2023-02-19 14:09:30,1.13.0,23.0,Simple job queues for Python.,12890.0,12890.0,282.0,https://pypi.org/project/rq,801386.0,801386.0,38,True,2,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2023-02-26 13:59:22,2023-02-10 15:58:23,2509.0,37.0,2637.0,186.0,1319.0,282.0,1656.0,7789.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",137310.0,137310.0,617.0,https://pypi.org/project/django-allauth,710840.0,710840.0,38,True,1,,,,
6,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-02-28 11:41:07,2023-02-28 11:41:03,2452.0,30.0,874.0,107.0,911.0,64.0,766.0,7383.0,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,67637.0,67637.0,267.0,https://pypi.org/project/django-debug-toolbar,1794394.0,1794395.0,37,True,1,,178.0,,
7,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-02-28 09:29:59,2023-02-22 14:30:09,1326.0,24.0,694.0,66.0,650.0,102.0,783.0,2626.0,2023-02-22 08:38:36,2.9.0,10.0,Django application and library for importing and exporting data with admin integration.,32371.0,32371.0,195.0,https://pypi.org/project/django-import-export,725945.0,725945.0,37,True,1,,,,
8,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-02-28 21:16:02,2023-02-28 13:22:06,14752.0,544.0,2994.0,338.0,5688.0,846.0,3460.0,14246.0,2023-02-06 13:47:50,4.2,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,789.0,https://pypi.org/project/wagtail,153291.0,153291.0,36,True,3,,,,
9,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-02-12 19:51:16,2022-12-27 10:29:07,3607.0,6.0,1083.0,103.0,957.0,135.0,710.0,6029.0,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,142721.0,142721.0,571.0,https://pypi.org/project/django-extensions,2266095.0,2266095.0,36,True,1,,,,
10,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-02-26 12:55:13,2023-02-24 09:54:22,8850.0,12.0,1978.0,268.0,2601.0,145.0,1302.0,5648.0,2022-12-23 15:54:06,3.2,5.0,Domain-driven e-commerce for Django.,966.0,966.0,337.0,https://pypi.org/project/django-oscar,16985.0,16985.0,36,True,1,,,,
11,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-02-28 12:21:46,2023-02-28 12:21:45,1737.0,8.0,777.0,144.0,517.0,103.0,869.0,7588.0,2022-12-11 20:07:51,3.2.1,57.0,GraphQL framework for Python.,16643.0,16643.0,197.0,https://pypi.org/project/graphene,1903098.0,1903098.0,35,True,1,,,,
12,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2023-02-26 14:57:08,2022-06-15 09:59:27,517.0,,282.0,36.0,224.0,60.0,155.0,2704.0,2022-06-15 15:03:09,0.9.0,15.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,129954.0,129954.0,76.0,https://pypi.org/project/django-environ,1369253.0,1369253.0,34,True,1,,8.0,,
