,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-03-31 23:51:05,2023-03-31 18:47:19,1608.0,122.0,1160.0,99.0,1994.0,604.0,1691.0,13095.0,2023-03-22 19:37:53,1.10.7,97.0,Data validation using Python type hints.,174765.0,174765.0,352.0,https://pypi.org/project/pydantic,57012674.0,57012674.0,44,True,1,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-03-30 07:09:11,2023-03-30 07:09:07,12161.0,61.0,4283.0,476.0,2890.0,543.0,4286.0,21209.0,2023-02-19 11:47:50,5.3.0b2,38.0,Distributed Task Queue (development branch).,97807.0,97807.0,1273.0,https://pypi.org/project/celery,6187218.0,6187218.0,43,True,1,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-03-30 13:30:21,2023-03-28 10:35:44,8663.0,24.0,6348.0,615.0,4497.0,73.0,3736.0,25246.0,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,462324.0,462324.0,1343.0,https://pypi.org/project/django-rest-framework,98113.0,98113.0,42,True,1,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-03-31 13:53:54,2023-03-28 15:22:33,16086.0,16.0,2812.0,405.0,4059.0,98.0,3318.0,9201.0,2022-12-13 14:27:49,3.11.1,3.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4787.0,4787.0,622.0,https://pypi.org/project/django-cms,45214.0,45214.0,39,True,1,,,,
4,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-03-29 13:07:59,2023-03-20 23:44:41,1736.0,58.0,1324.0,212.0,792.0,138.0,900.0,8838.0,2023-02-19 14:09:30,1.13.0,23.0,Simple job queues for Python.,13110.0,13110.0,285.0,https://pypi.org/project/rq,721958.0,721958.0,38,True,2,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2023-03-31 21:23:44,2023-03-31 21:15:42,2532.0,27.0,2660.0,189.0,1335.0,291.0,1660.0,7847.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",144082.0,144082.0,627.0,https://pypi.org/project/django-allauth,729431.0,729431.0,38,True,1,,,,
6,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-04-01 00:00:22,2023-04-01 00:00:22,14922.0,628.0,3061.0,338.0,5766.0,831.0,3518.0,14469.0,2023-03-13 11:30:36,4.2.1,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,797.0,https://pypi.org/project/wagtail,145982.0,145982.0,37,True,3,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-03-17 09:19:31,2023-03-11 21:22:29,2455.0,19.0,878.0,108.0,918.0,62.0,769.0,7437.0,2022-12-03 18:09:12,3.8.1,12.0,A configurable set of panels that display various debug information about the current request/response.,68635.0,68635.0,267.0,https://pypi.org/project/django-debug-toolbar,1867529.0,1867530.0,37,True,1,183.0,,,
8,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-03-23 12:20:56,2023-03-23 12:20:48,1333.0,26.0,697.0,66.0,657.0,101.0,790.0,2646.0,2023-02-22 08:38:36,2.9.0,10.0,Django application and library for importing and exporting data with admin integration.,38049.0,38049.0,196.0,https://pypi.org/project/django-import-export,830556.0,830556.0,37,True,1,,,,
9,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-03-24 07:35:24,2022-12-27 10:29:07,3607.0,,1086.0,104.0,958.0,138.0,712.0,6051.0,2022-09-09 11:10:54,3.2.1,4.0,This is a repository for collecting global custom management extensions for the Django Framework.,149269.0,149269.0,571.0,https://pypi.org/project/django-extensions,2400171.0,2400171.0,36,True,1,,,,
