,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-05-31 18:54:08,2023-05-31 15:17:47,1920.0,398.0,1217.0,106.0,2362.0,251.0,2215.0,13893,2023-05-23 17:54:21,1.10.8,100.0,Data validation using Python type hints.,202418.0,202418.0,362.0,https://pypi.org/project/pydantic,66814988.0,66814988.0,45,True,1,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-05-31 14:47:09,2023-05-31 14:45:59,12216.0,80.0,4312.0,480.0,2946.0,558.0,4298.0,21614,2023-05-31 14:47:57,5.3.0rc2,40.0,Distributed Task Queue (development branch).,103159.0,103159.0,1279.0,https://pypi.org/project/celery,6375989.0,6375989.0,43,True,1,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-05-31 04:36:22,2023-05-31 04:36:21,8686.0,27.0,6394.0,615.0,4530.0,74.0,3745.0,25635,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,502604.0,502604.0,1358.0,https://pypi.org/project/django-rest-framework,98702.0,98702.0,41,True,1,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-05-31 13:12:59,2023-05-22 23:08:53,16195.0,46.0,2824.0,407.0,4100.0,98.0,3330.0,9307,2023-04-25 13:29:30,3.11.3,7.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4872.0,4872.0,625.0,https://pypi.org/project/django-cms,45127.0,45127.0,40,True,1,1.0,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2023-05-30 20:24:24,2023-05-23 18:35:30,2540.0,31.0,2692.0,186.0,1347.0,302.0,1665.0,7973,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",159414.0,159414.0,629.0,https://pypi.org/project/django-allauth,743229.0,743229.0,38,True,1,,,,,
5,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-05-30 11:07:38,2023-05-30 11:07:37,15227.0,460.0,3126.0,339.0,5865.0,847.0,3586.0,14840,2023-05-25 13:56:00,5.0.1,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,810.0,https://pypi.org/project/wagtail,151136.0,151136.0,37,True,3,,,,,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-05-29 08:23:57,2023-05-27 02:26:09,1778.0,55.0,1332.0,210.0,827.0,141.0,916.0,8928,2023-05-27 02:28:14,1.15,26.0,Simple job queues for Python.,13673.0,13673.0,293.0,https://pypi.org/project/rq,741897.0,741897.0,37,True,2,-1.0,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-05-30 16:09:19,2023-05-30 16:09:03,2508.0,56.0,884.0,110.0,945.0,67.0,777.0,7506,2023-05-16 10:40:08,4.1,14.0,A configurable set of panels that display various debug information about the current request/response.,72207.0,72207.0,272.0,https://pypi.org/project/django-debug-toolbar,1830141.0,1830142.0,37,True,1,,202.0,,,
8,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-05-11 09:41:01,2023-05-11 09:41:00,1345.0,19.0,699.0,66.0,665.0,80.0,826.0,2678,2023-04-12 18:09:24,3.2.0,11.0,Django application and library for importing and exporting data with admin integration.,50295.0,50295.0,198.0,https://pypi.org/project/django-import-export,784619.0,784619.0,37,True,1,,,,,
9,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2023-05-31 14:27:47,2023-05-31 14:27:40,1222.0,43.0,408.0,39.0,666.0,117.0,398.0,1870,2023-03-08 22:41:15,3.3.0,34.0,Store model history and view/revert changes from admin site.,4085.0,4085.0,170.0,https://pypi.org/project/django-simple-history,880981.0,880981.0,37,True,1,,,,,
10,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-05-29 18:25:44,2023-05-25 10:21:55,1743.0,6.0,788.0,146.0,524.0,103.0,871.0,7688,2023-03-13 20:25:52,3.2.2,58.0,GraphQL framework for Python.,17676.0,17676.0,199.0,https://pypi.org/project/graphene,1741669.0,1741669.0,36,True,1,,,,,
