,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,updated_github_id,gitlab_id,gitlab_url
0,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2023-06-28 12:43:59,2023-06-28 12:43:58,12255.0,94.0,4333.0,479.0,2982.0,565.0,4306.0,21772,2023-06-18 14:18:25,5.3.1,42.0,Distributed Task Queue (development branch).,105496.0,105496.0,1284.0,https://pypi.org/project/celery,6901036.0,6901036.0,44,True,1,,,,,,
1,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,2017-05-03 21:23:58,2023-06-30 23:16:05,2023-06-30 18:54:45,2142.0,524.0,1242.0,103.0,2609.0,245.0,2307.0,14332,2023-06-30 16:30:12,2.0,100.0,Data validation using Python type hints.,216134.0,216134.0,367.0,https://pypi.org/project/pydantic,70834658.0,70834658.0,44,True,1,MIT,-1.0,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2023-06-30 15:26:18,2023-06-21 05:05:44,8697.0,34.0,6423.0,614.0,4544.0,74.0,3753.0,25838,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,520247.0,520247.0,1365.0,https://pypi.org/project/django-rest-framework,115734.0,115734.0,41,True,1,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,2009-03-05 10:14:18,2023-06-30 19:46:38,2023-06-30 08:58:20,16200.0,48.0,2840.0,405.0,4125.0,93.0,3340.0,9355,2023-06-21 19:24:02,3.8.2,9.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4905.0,4905.0,627.0,https://pypi.org/project/django-cms,50253.0,50253.0,40,True,1,BSD-3-Clause,,,,,
4,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2023-06-29 15:41:33,2023-06-29 02:54:44,1789.0,50.0,1333.0,211.0,839.0,143.0,924.0,8981,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,13912.0,13912.0,298.0,https://pypi.org/project/rq,811595.0,811595.0,38,True,2,,,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52,2023-06-30 21:08:28,2023-06-30 21:08:15,2564.0,32.0,2698.0,186.0,1352.0,261.0,1711.0,8033,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",167660.0,167660.0,637.0,https://pypi.org/project/django-allauth,751276.0,751276.0,38,True,1,MIT,,,,,
6,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2023-06-05 17:10:32,2023-06-05 17:09:24,3620.0,13.0,1095.0,104.0,963.0,144.0,719.0,6147,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,172033.0,172033.0,573.0,https://pypi.org/project/django-extensions,2486616.0,2486616.0,38,True,1,MIT,2.0,,,,
7,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2023-06-30 20:32:54,2023-06-30 16:16:48,15470.0,546.0,3152.0,340.0,5942.0,857.0,3616.0,14994,2023-06-21 13:57:12,5.0.2,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,818.0,https://pypi.org/project/wagtail,142059.0,142059.0,37,True,3,BSD-3-Clause,,,,,
8,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2023-06-26 19:42:33,2023-06-23 08:07:18,2517.0,61.0,887.0,110.0,951.0,68.0,779.0,7539,2023-05-16 10:40:08,4.1,14.0,A configurable set of panels that display various debug information about the current request/response.,73577.0,73577.0,272.0,https://pypi.org/project/django-debug-toolbar,1846902.0,1846903.0,37,True,1,BSD-3-Clause,,209.0,,,
9,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,2012-11-15 13:12:22,2023-06-28 13:21:44,2023-05-11 09:41:00,1345.0,12.0,704.0,67.0,666.0,84.0,828.0,2700,2023-04-12 18:09:24,3.2.0,11.0,Django application and library for importing and exporting data with admin integration.,57145.0,57145.0,198.0,https://pypi.org/project/django-import-export,801489.0,801489.0,37,True,1,BSD-2-Clause,,,,,
