,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,new_addition,updated_github_id,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-08-01 06:22:36,2023-08-01 06:22:36,2333.0,571.0,1301.0,97.0,2841.0,328.0,2523.0,15077,2023-07-25 22:56:51,2.1.1,100.0,Data validation using Python type hints.,230042.0,230042.0,389.0,https://pypi.org/project/pydantic,82507428.0,82507428.0,45,True,1,1.0,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-07-31 17:50:42,2023-07-30 14:36:14,12270.0,86.0,4345.0,480.0,3003.0,565.0,4322.0,21940,2023-06-18 14:18:25,5.3.1,42.0,Distributed Task Queue (development branch).,107636.0,107636.0,1294.0,https://pypi.org/project/celery,6890172.0,6890172.0,44,True,1,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-08-01 03:57:54,2023-07-26 04:27:49,8703.0,25.0,6435.0,616.0,4553.0,72.0,3760.0,26023,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,538349.0,538349.0,1369.0,https://pypi.org/project/django-rest-framework,98199.0,98199.0,41,True,1,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-07-24 21:03:23,2023-07-21 13:51:36,16204.0,24.0,2850.0,403.0,4135.0,95.0,3341.0,9407,2023-06-21 19:24:02,3.8.2,9.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,4934.0,4934.0,628.0,https://pypi.org/project/django-cms,44474.0,44474.0,39,True,1,-1.0,,,,,
4,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-06-05 17:10:32,2023-06-05 17:09:24,3620.0,10.0,1094.0,104.0,963.0,148.0,719.0,6176,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,180490.0,180490.0,573.0,https://pypi.org/project/django-extensions,2533083.0,2533083.0,38,True,1,,,,,,
5,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-07-31 21:44:39,2023-07-31 21:43:41,15656.0,495.0,3177.0,339.0,6019.0,824.0,3651.0,15173,2023-06-21 13:57:12,5.0.2,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,825.0,https://pypi.org/project/wagtail,146595.0,146595.0,37,True,3,,,,,,
6,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-07-30 02:33:51,2023-07-21 08:54:39,1792.0,35.0,1337.0,210.0,841.0,147.0,924.0,9032,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,14146.0,14146.0,298.0,https://pypi.org/project/rq,947664.0,947664.0,37,True,2,-1.0,,,,,
7,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2023-07-28 15:25:03,2023-07-26 07:43:40,1753.0,11.0,790.0,146.0,529.0,100.0,874.0,7744,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,18306.0,18306.0,205.0,https://pypi.org/project/graphene,1648668.0,1648668.0,37,True,1,1.0,,,,,
8,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-07-31 20:29:44,2023-07-17 21:22:07,2523.0,46.0,889.0,109.0,961.0,70.0,785.0,7580,2023-05-16 10:40:08,4.1,14.0,A configurable set of panels that display various debug information about the current request/response.,74888.0,74888.0,273.0,https://pypi.org/project/django-debug-toolbar,1876016.0,1876017.0,37,True,1,,211.0,,,,
9,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,BSD-3-Clause,2011-03-06 22:42:19,2023-07-31 20:31:08,2023-07-31 18:12:42,1263.0,48.0,416.0,39.0,698.0,124.0,398.0,1909,2023-03-08 22:41:15,3.3.0,34.0,Store model history and view/revert changes from admin site.,4267.0,4267.0,174.0,https://pypi.org/project/django-simple-history,948018.0,948018.0,37,True,1,,,,,,
10,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-07-30 12:37:44,2023-07-14 11:53:30,8933.0,68.0,2041.0,268.0,2669.0,71.0,1388.0,5805,2022-12-23 15:54:06,3.2,5.0,Domain-driven e-commerce for Django.,1011.0,1011.0,349.0,https://pypi.org/project/django-oscar,14266.0,14266.0,36,True,1,,,,,,
11,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-07-20 15:21:48,2023-07-20 15:21:48,1348.0,5.0,707.0,66.0,669.0,86.0,829.0,2718,2023-04-12 18:09:24,3.2.0,11.0,Django application and library for importing and exporting data with admin integration.,64791.0,64791.0,200.0,https://pypi.org/project/django-import-export,761913.0,761913.0,36,True,1,,,,,,
12,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,MIT,2013-04-02 13:50:07,2023-07-17 17:03:28,2023-03-02 22:09:52,588.0,,295.0,36.0,254.0,56.0,168.0,2790,2023-03-02 22:11:27,0.10.0,16.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,172832.0,172832.0,84.0,https://pypi.org/project/django-environ,1466552.0,1466552.0,35,True,1,,15.0,,,,
13,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,MIT,2016-09-17 23:26:25,2023-07-26 23:41:40,2023-07-26 23:41:40,933.0,29.0,712.0,72.0,585.0,126.0,659.0,4112,2023-07-18 12:14:32,3.1.3,47.0,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",13363.0,13363.0,213.0,https://pypi.org/project/graphene-django,387392.0,387392.0,34,True,2,,,,,,
14,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,MIT,2011-08-31 17:52:05,2023-07-31 16:54:55,2023-07-22 19:57:00,564.0,4.0,293.0,24.0,358.0,8.0,198.0,1383,2023-04-26 20:43:40,7.1.0,9.0,A django model and form field for normalised phone numbers using python-phonenumbers.,21733.0,21733.0,113.0,https://pypi.org/project/django-phonenumber-field,704618.0,704618.0,34,True,1,6.0,13.0,,,,
15,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api-ninja,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,MIT,2020-05-19 08:48:53,2023-07-30 14:24:58,2023-07-22 10:36:56,887.0,63.0,280.0,69.0,219.0,163.0,356.0,4712,2023-06-08 15:42:14,0.22.2,31.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1505.0,1505.0,94.0,https://pypi.org/project/django-ninja,133035.0,133035.0,33,True,1,,,,,,
16,django-bootstrap4,zostera/django-bootstrap4,django-bootstrap4,[],mvt-css-framework-integration,https://github.com/zostera/django-bootstrap4,https://github.com/zostera/django-bootstrap4,BSD-3-Clause,2017-04-25 15:55:15,2023-06-28 12:32:29,2023-06-28 12:15:08,1169.0,24.0,213.0,39.0,489.0,18.0,140.0,1005,2021-05-20 08:44:02,3.0.1,2.0,Bootstrap 4 integration with Django.,129792.0,129792.0,138.0,https://pypi.org/project/django-bootstrap4,170215.0,170215.0,33,True,1,,,,,,
17,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,BSD-3-Clause,2013-02-12 16:46:39,2023-07-31 14:37:03,2023-07-31 09:55:51,20604.0,212.0,4888.0,380.0,8556.0,526.0,3280.0,18826,2023-07-26 08:47:22,3.14.6,100.0,"Saleor Core: the high performance, composable, headless commerce API.",1.0,1.0,277.0,https://pypi.org/project/saleor,30.0,33.0,32,True,2,,15.0,,,,
18,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2023-07-24 20:38:06,2023-07-24 20:38:05,2615.0,83.0,2706.0,186.0,1366.0,215.0,1772.0,8110,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",,,643.0,https://pypi.org/project/django-allauth,717184.0,717184.0,32,True,1,-6.0,,,,,
19,strawberry,strawberry-graphql/strawberry,strawberry,[],graphql-api,https://github.com/strawberry-graphql/strawberry,https://github.com/strawberry-graphql/strawberry,MIT,2018-12-21 08:56:55,2023-07-31 18:25:42,2023-07-31 08:42:42,2883.0,183.0,425.0,45.0,2123.0,305.0,487.0,3348,2023-07-31 08:43:11,0.198.0,100.0,A GraphQL library for Python that leverages type annotations.,2061.0,2061.0,216.0,https://pypi.org/project/strawberry,509.0,589.0,32,True,2,,400.0,,,,
20,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,BSD-3-Clause,2010-05-31 15:32:25,2023-05-21 16:15:51,2023-05-21 16:15:51,1501.0,7.0,451.0,58.0,305.0,14.0,625.0,2897,2022-11-12 14:45:12,5.0.4,8.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,7113.0,7113.0,186.0,https://pypi.org/project/django-reversion,284059.0,284059.0,32,True,2,,,,,,
21,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,MIT,2012-05-15 10:21:58,2023-07-20 04:49:06,2023-06-02 03:24:02,609.0,11.0,265.0,29.0,287.0,81.0,249.0,1675,2023-05-14 01:33:35,2.8.1,10.0,A simple app that provides django integration for RQ (Redis Queue).,2824.0,2824.0,118.0,https://pypi.org/project/django-rq,172953.0,172953.0,32,True,3,,,,,,
22,django-bootstrap3,zostera/django-bootstrap3,django-bootstrap3,[],mvt-css-framework-integration,https://github.com/zostera/django-bootstrap3,https://github.com/zostera/django-bootstrap3,BSD-3-Clause,2013-08-13 13:48:04,2023-07-23 18:31:37,2023-06-28 18:59:37,1023.0,34.0,677.0,107.0,594.0,4.0,291.0,2321,,,,Bootstrap 3 integration with Django.,18423.0,18423.0,99.0,https://pypi.org/project/django-bootstrap3,86422.0,86422.0,31,True,2,,,,,,
23,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,MIT,2015-10-26 14:46:36,2023-08-01 00:13:22,2023-07-18 08:04:44,758.0,21.0,145.0,34.0,116.0,15.0,161.0,1454,2023-05-10 23:39:26,0.26.0,51.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",3116.0,3116.0,32.0,https://pypi.org/project/django-admin-interface,68040.0,68040.0,31,True,1,,,,,,
24,social-app-django,python-social-auth/social-app-django,social-app-django,[],authentication-authorization,https://github.com/python-social-auth/social-app-django,https://github.com/python-social-auth/social-app-django,BSD-3-Clause,2016-09-24 18:06:40,2023-08-01 04:09:52,2023-08-01 04:09:51,2282.0,19.0,337.0,35.0,179.0,126.0,147.0,1839,2023-03-31 07:02:30,5.2.0,3.0,Python Social Auth - Application - Django.,32981.0,32981.0,323.0,https://pypi.org/project/social-app-django,,,30,True,1,,,True,,,
