,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2023-10-31 23:18:14,2023-10-31 16:33:11,2575.0,239.0,1400.0,101.0,3148.0,351.0,2957.0,16174,2023-09-27 17:38:44,2.4.2,100.0,Data validation using Python type hints.,275796.0,275796.0,432.0,https://pypi.org/project/pydantic,125127625.0,125127625.0,45,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2023-10-31 23:10:47,2023-10-25 03:59:36,12344.0,72.0,4371.0,473.0,3099.0,585.0,4348.0,22445,2023-09-03 20:03:56,5.3.4,43.0,Distributed Task Queue (development branch).,114805.0,114805.0,1312.0,https://pypi.org/project/celery,7734051.0,7734051.0,44,True,1,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2023-10-31 01:48:34,2023-10-17 10:13:10,8724.0,21.0,6507.0,629.0,4599.0,70.0,3772.0,26547,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,586407.0,586407.0,1381.0,https://pypi.org/project/django-rest-framework,102157.0,102157.0,41,True,1,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2023-10-30 09:46:07,2023-10-23 20:57:40,16218.0,14.0,2901.0,403.0,4192.0,102.0,3350.0,9566,2023-09-08 06:28:31,3.11.4,11.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5014.0,5014.0,635.0,https://pypi.org/project/django-cms,73326.0,73326.0,40,True,1,,,,,,
4,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2023-10-31 18:51:36,2023-10-05 11:22:02,1376.0,28.0,718.0,67.0,716.0,37.0,896.0,2767,2023-09-14 14:15:35,3.3.1,14.0,Django application and library for importing and exporting data with admin integration.,82266.0,82266.0,202.0,https://pypi.org/project/django-import-export,830078.0,830078.0,38,True,1,,,,,,
5,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2023-10-31 21:33:52,2023-10-31 21:33:45,16277.0,598.0,3373.0,341.0,6293.0,840.0,3766.0,16187,2023-10-19 14:27:54,5.1.3,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,863.0,https://pypi.org/project/wagtail,202526.0,202526.0,37,True,3,,,,,,
6,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2023-10-27 14:32:12,2023-10-27 14:32:12,2542.0,17.0,894.0,110.0,980.0,69.0,801.0,7666,2023-08-11 01:35:07,4.2,15.0,A configurable set of panels that display various debug information about the current request/response.,79043.0,79043.0,277.0,https://pypi.org/project/django-debug-toolbar,2227448.0,2227449.0,37,True,1,212.0,,,,,
7,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2023-10-27 17:35:13,2023-10-25 09:17:10,3621.0,1.0,1105.0,103.0,969.0,154.0,719.0,6239,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,200578.0,200578.0,573.0,https://pypi.org/project/django-extensions,3052231.0,3052231.0,37,True,1,,,,,,
8,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2023-10-31 10:16:05,2023-10-31 10:16:05,8964.0,29.0,2079.0,267.0,2707.0,70.0,1402.0,5903,2023-09-01 14:26:52,3.2.2,6.0,Domain-driven e-commerce for Django.,1034.0,1034.0,352.0,https://pypi.org/project/django-oscar,16817.0,16817.0,37,True,1,,2.0,,,,
9,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2023-10-28 12:57:44,2023-10-18 15:56:26,1800.0,8.0,1345.0,209.0,856.0,158.0,932.0,9190,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,14859.0,14859.0,299.0,https://pypi.org/project/rq,1317641.0,1317641.0,36,True,2,,,,,,
