,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,trending,github_release_downloads,updated_github_id,new_addition,gitlab_id,gitlab_url
0,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2023-12-28 11:22:32,2023-12-28 11:22:32,12395.0,64.0,4397.0,473.0,3176.0,593.0,4367.0,22800,2023-11-22 15:18:14,5.3.6,45.0,Distributed Task Queue (development branch).,122023.0,122023.0,1324.0,https://pypi.org/project/celery,7640505.0,7640505.0,44,True,1,,,,,,,
1,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,2017-05-03 21:23:58,2023-12-30 09:50:55,2023-12-28 16:23:32,2679.0,162.0,1474.0,104.0,3291.0,304.0,3232.0,17054,2023-12-22 10:12:36,2.5.3,100.0,Data validation using Python type hints.,312621.0,312621.0,458.0,https://pypi.org/project/pydantic,130749314.0,130749314.0,44,True,1,MIT,-1.0,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2023-12-22 20:05:01,2023-12-06 16:44:47,8729.0,13.0,6541.0,622.0,4614.0,74.0,3774.0,26887,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,614853.0,614853.0,1382.0,https://pypi.org/project/django-rest-framework,93748.0,93748.0,41,True,1,,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,2009-03-05 10:14:18,2023-12-31 14:55:25,2023-12-22 09:08:29,16229.0,17.0,2914.0,395.0,4221.0,104.0,3356.0,9673,2023-12-31 12:11:54,4.1.0,13.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5077.0,5077.0,637.0,https://pypi.org/project/django-cms,58535.0,58535.0,39,True,1,BSD-3-Clause,-1.0,,,,,
4,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,2012-11-15 13:12:22,2023-12-29 20:05:37,2023-12-29 09:56:51,1401.0,26.0,722.0,66.0,746.0,32.0,928.0,2799,2023-12-19 09:54:21,3.3.5,21.0,Django application and library for importing and exporting data with admin integration.,89805.0,89805.0,204.0,https://pypi.org/project/django-import-export,816284.0,816284.0,38,True,1,BSD-2-Clause,,,,,,
5,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2023-12-31 05:16:23,2023-12-31 04:33:45,16586.0,601.0,3441.0,341.0,6420.0,820.0,3867.0,16488,2023-12-06 17:18:44,5.2.2,100.0,A Django content management system focused on flexibility and user experience.,6.0,6.0,876.0,https://pypi.org/project/wagtail,175688.0,175688.0,37,True,3,BSD-3-Clause,,,,,,
6,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2023-12-28 20:32:01,2023-12-25 18:34:18,2551.0,16.0,894.0,109.0,989.0,71.0,804.0,7748,2023-08-11 01:35:07,4.2,15.0,A configurable set of panels that display various debug information about the current request/response.,81918.0,81918.0,278.0,https://pypi.org/project/django-debug-toolbar,1812664.0,1812665.0,37,True,1,BSD-3-Clause,,213.0,,,,
7,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,2010-12-08 21:30:32,2023-12-28 09:50:51,2023-12-28 09:50:51,8980.0,22.0,2096.0,269.0,2728.0,73.0,1404.0,5989,2023-09-01 14:26:52,3.2.2,6.0,Domain-driven e-commerce for Django.,1060.0,1060.0,356.0,https://pypi.org/project/django-oscar,16515.0,16515.0,37,True,1,BSD-3-Clause,,,,,,
8,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2023-12-30 17:39:27,2023-12-24 03:16:18,1810.0,14.0,1351.0,210.0,871.0,157.0,941.0,9294,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,15392.0,15392.0,303.0,https://pypi.org/project/rq,1407632.0,1407632.0,36,True,2,,,,,,,
9,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2023-12-16 17:48:40,2023-10-25 09:17:10,3621.0,1.0,1105.0,102.0,973.0,158.0,720.0,6307,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,209875.0,209875.0,573.0,https://pypi.org/project/django-extensions,2685830.0,2685830.0,36,True,1,MIT,,,,,,
10,django-reversion,etianen/django-reversion,django-reversion,[],fields-versioning,https://github.com/etianen/django-reversion,https://github.com/etianen/django-reversion,2010-05-31 15:32:25,2023-12-30 20:25:53,2023-12-30 20:25:37,1521.0,14.0,455.0,56.0,312.0,11.0,631.0,2938,2023-12-30 20:28:07,5.0.10,14.0,django-reversion is an extension to the Django web framework that provides version control for model instances.,7282.0,7282.0,190.0,https://pypi.org/project/django-reversion,296928.0,296928.0,35,True,1,BSD-3-Clause,,,,,,
11,django-environ,joke2k/django-environ,django-environ,[],configuration,https://github.com/joke2k/django-environ,https://github.com/joke2k/django-environ,2013-04-02 13:50:07,2023-12-18 17:30:31,2023-09-01 19:02:16,636.0,,302.0,34.0,279.0,61.0,176.0,2867,2023-09-01 21:08:14,0.11.2,19.0,Django-environ allows you to utilize 12factor inspired environment variables to configure your Django application.,207673.0,207673.0,93.0,https://pypi.org/project/django-environ,1651799.0,1651799.0,35,True,1,MIT,,42.0,,,,
12,django-simple-history,jazzband/django-simple-history,django-simple-history,[],fields-versioning,https://github.com/jazzband/django-simple-history,https://github.com/jazzband/django-simple-history,2011-03-06 22:42:19,2023-12-26 15:19:33,2023-12-26 15:19:32,1310.0,6.0,426.0,42.0,743.0,121.0,424.0,2012,2023-08-17 22:55:48,3.4.0,35.0,Store model history and view/revert changes from admin site.,4803.0,4803.0,180.0,https://pypi.org/project/django-simple-history,893052.0,893052.0,35,True,1,BSD-3-Clause,-1.0,,,,,
13,django-phonenumber-field,stefanfoulis/django-phonenumber-field,django-phonenumber-field,[],fields-phone-numbers,https://github.com/stefanfoulis/django-phonenumber-field,https://github.com/stefanfoulis/django-phonenumber-field,2011-08-31 17:52:05,2023-12-29 14:30:24,2023-12-29 14:11:49,587.0,17.0,298.0,23.0,378.0,4.0,210.0,1419,2023-12-29 14:31:51,7.3.0,11.0,A django model and form field for normalised phone numbers using python-phonenumbers.,24139.0,24139.0,115.0,https://pypi.org/project/django-phonenumber-field,854268.0,854268.0,35,True,1,MIT,,16.0,,,,
14,pytest-django,pytest-dev/pytest-django,pytest-django,[],testing,https://github.com/pytest-dev/pytest-django,https://github.com/pytest-dev/pytest-django,2011-09-29 19:35:55,2023-12-28 09:03:39,2023-12-28 09:03:39,1256.0,51.0,318.0,41.0,589.0,139.0,374.0,1268,2023-11-08 11:21:35,4.7.0,21.0,A Django plugin for pytest.,69674.0,69674.0,142.0,https://pypi.org/project/pytest-django,2307115.0,2307115.0,35,True,1,,,,,,,
15,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,2010-10-10 20:10:52,2023-12-30 14:43:25,2023-12-30 14:42:21,2905.0,157.0,2778.0,185.0,1438.0,58.0,2060.0,8546,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",21.0,21.0,671.0,https://pypi.org/project/django-allauth,702194.0,702194.0,34,True,1,MIT,,,,,,
16,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,2015-09-24 09:18:18,2023-12-26 10:21:55,2023-10-06 20:15:26,1755.0,1.0,798.0,141.0,541.0,104.0,876.0,7868,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,19631.0,19631.0,207.0,https://pypi.org/project/graphene,1926984.0,1926984.0,34,True,1,MIT,-1.0,,,,,
17,django-storages,jschneier/django-storages,django-storages,[],storage,https://github.com/jschneier/django-storages,https://github.com/jschneier/django-storages,2014-12-09 00:37:09,2023-11-27 22:36:14,2023-11-26 16:55:58,1095.0,11.0,785.0,41.0,683.0,118.0,541.0,2557,,,,https://django-storages.readthedocs.io/.,169040.0,169040.0,258.0,https://pypi.org/project/django-storages,2355540.0,2355540.0,34,True,1,BSD-3-Clause,,,,,,
18,saleor,saleor/saleor,saleor,[],ecommerce-framework,https://github.com/saleor/saleor,https://github.com/saleor/saleor,2013-02-12 16:46:39,2023-12-29 15:59:00,2023-12-28 12:47:48,21007.0,224.0,5089.0,372.0,9648.0,575.0,3613.0,19462,2023-12-21 11:26:45,3.17.16,100.0,"Saleor Core: the high performance, composable, headless commerce API.",3.0,3.0,283.0,https://pypi.org/project/saleor,27.0,47.0,33,True,2,BSD-3-Clause,,83.0,,,,
19,django-ninja,vitalik/django-ninja,django-ninja,[],restful-api-ninja,https://github.com/vitalik/django-ninja,https://github.com/vitalik/django-ninja,2020-05-19 08:48:53,2023-12-29 19:45:08,2023-12-28 09:04:05,1064.0,114.0,337.0,75.0,278.0,207.0,450.0,5578,2023-12-07 22:13:04,1.1.0,39.0,"Fast, Async-ready, Openapi, type hints based framework for building APIs.",1906.0,1906.0,124.0,https://pypi.org/project/django-ninja,189165.0,189165.0,33,True,1,MIT,,,,,,
20,graphene-django,graphql-python/graphene-django,graphene-django,[],graphql-api,https://github.com/graphql-python/graphene-django,https://github.com/graphql-python/graphene-django,2016-09-17 23:26:25,2023-12-23 20:33:36,2023-12-20 10:22:33,956.0,8.0,721.0,72.0,612.0,130.0,671.0,4177,2023-12-20 10:22:38,3.2.0,50.0,"Build powerful, efficient, and flexible GraphQL APIs with seamless Django integration.",14124.0,14124.0,219.0,https://pypi.org/project/graphene-django,354807.0,354807.0,33,True,2,MIT,,,,,,
21,django-rq,rq/django-rq,django-rq,[],task-queues,https://github.com/rq/django-rq,https://github.com/rq/django-rq,2012-05-15 10:21:58,2023-12-26 08:10:48,2023-12-26 08:10:46,624.0,12.0,269.0,27.0,300.0,86.0,254.0,1722,2023-12-18 10:33:19,2.10.1,12.0,A simple app that provides django integration for RQ (Redis Queue).,3076.0,3076.0,124.0,https://pypi.org/project/django-rq,459008.0,459008.0,33,True,3,MIT,2.0,,,,,
22,django-admin-interface,fabiocaccamo/django-admin-interface,django-admin-interface,[],admin-interface,https://github.com/fabiocaccamo/django-admin-interface,https://github.com/fabiocaccamo/django-admin-interface,2015-10-26 14:46:36,2024-01-01 00:09:12,2023-12-28 17:19:18,821.0,46.0,154.0,33.0,141.0,12.0,177.0,1592,2023-12-28 17:20:02,0.28.1,55.0,"djangos default admin interface with superpowers - customizable themes, popup windows replaced by modals and many..",3531.0,3531.0,36.0,https://pypi.org/project/django-admin-interface,89772.0,89772.0,33,True,1,MIT,,,,,,
23,dj-stripe,dj-stripe/dj-stripe,dj-stripe,[],payment-subscriptions,https://github.com/dj-stripe/dj-stripe,https://github.com/dj-stripe/dj-stripe,2013-08-05 15:31:30,2023-12-29 14:17:16,2023-11-27 14:19:19,3243.0,19.0,449.0,32.0,998.0,56.0,897.0,1498,2023-08-08 11:58:56,2.8.1,70.0,dj-stripe automatically syncs your Stripe Data to your local database as pre-implemented Django Models allowing you to..,881.0,881.0,126.0,https://pypi.org/project/dj-stripe,59927.0,59927.0,33,True,1,MIT,,,,,,
