,name,github_id,pypi_id,labels,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,license,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
0,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,2009-04-24 11:31:24,2024-01-31 22:09:33,2024-01-31 11:33:52,12464.0,119.0,4406.0,473.0,3241.0,599.0,4373.0,22959,2023-11-22 15:18:14,5.3.6,46.0,Distributed Task Queue (development branch).,124403.0,124403.0,1333.0,https://pypi.org/project/celery,8550994.0,8550994.0,44,True,1,,,,,,
1,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,2017-05-03 21:23:58,2024-01-31 15:18:28,2024-01-30 18:59:08,2736.0,160.0,1510.0,107.0,3353.0,321.0,3327.0,17468,2024-01-29 14:29:18,2.6.0,100.0,Data validation using Python type hints.,330225.0,330225.0,473.0,https://pypi.org/project/pydantic,137651855.0,137651855.0,44,True,1,MIT,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02 17:13:56,2024-01-30 06:57:31,2024-01-29 08:30:29,8742.0,18.0,6558.0,622.0,4640.0,76.0,3777.0,27052,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,625643.0,625643.0,1390.0,https://pypi.org/project/django-rest-framework,106252.0,106252.0,41,True,1,,,,,,
3,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,2010-12-08 21:30:32,2024-01-29 20:47:26,2024-01-29 17:36:33,9019.0,52.0,2105.0,267.0,2748.0,77.0,1404.0,6009,2023-09-01 14:26:52,3.2.2,7.0,Domain-driven e-commerce for Django.,1068.0,1068.0,360.0,https://pypi.org/project/django-oscar,20781.0,20781.0,38,True,1,BSD-3-Clause,,,,,
4,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,2012-11-15 13:12:22,2024-01-31 17:50:52,2024-01-31 16:22:01,1407.0,31.0,726.0,65.0,757.0,27.0,942.0,2818,2024-01-10 12:53:47,3.3.6,22.0,Django application and library for importing and exporting data with admin integration.,91236.0,91236.0,205.0,https://pypi.org/project/django-import-export,950359.0,950359.0,38,True,1,BSD-2-Clause,,,,,
5,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,2014-02-03 12:41:59,2024-01-31 21:50:59,2024-01-31 21:50:59,16901.0,569.0,3482.0,343.0,6521.0,809.0,3928.0,16673,2024-01-23 15:44:58,5.2.3,100.0,A Django content management system focused on flexibility and user experience.,8.0,8.0,889.0,https://pypi.org/project/wagtail,219550.0,219550.0,37,True,1,BSD-3-Clause,,,,,
6,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,2009-03-21 16:11:19,2024-01-16 21:50:31,2023-10-25 09:17:10,3621.0,,1107.0,104.0,976.0,160.0,720.0,6334,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,212074.0,212074.0,574.0,https://pypi.org/project/django-extensions,3071309.0,3071309.0,37,True,1,MIT,,,,,
7,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,2011-11-14 10:53:48,2024-01-31 20:02:54,2024-01-19 00:21:26,1812.0,12.0,1358.0,208.0,878.0,160.0,943.0,9357,2023-06-21 01:53:02,1.15.1,27.0,Simple job queues for Python.,15609.0,15609.0,304.0,https://pypi.org/project/rq,1447449.0,1447449.0,36,True,2,,,,,,
8,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,2008-08-28 06:58:04,2024-01-29 17:33:41,2024-01-29 12:20:57,2555.0,13.0,899.0,111.0,995.0,68.0,808.0,7792,2023-08-11 01:35:07,4.2,15.0,A configurable set of panels that display various debug information about the current request/response.,83181.0,83181.0,280.0,https://pypi.org/project/django-debug-toolbar,2166181.0,2166182.0,36,True,1,BSD-3-Clause,213.0,-1.0,,,
9,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,2015-09-24 09:18:18,2023-12-26 10:21:55,2023-10-06 20:15:26,1755.0,,798.0,142.0,541.0,106.0,877.0,7905,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,19856.0,19856.0,207.0,https://pypi.org/project/graphene,2287504.0,2287504.0,35,True,1,MIT,,,,,
