,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,github_release_downloads,updated_github_id,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2024-04-30 21:48:47,2024-04-30 19:34:29,2883.0,147.0,1623.0,113.0,3521.0,367.0,3604.0,18699,2024-04-23 13:11:29,2.7.1,100.0,Data validation using Python type hints.,393134.0,393134.0,511.0,https://pypi.org/project/pydantic,175762763.0,175762763.0,45,True,1,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2024-04-30 17:46:43,2024-04-29 18:46:38,12522.0,58.0,4436.0,472.0,3328.0,632.0,4383.0,23538,2024-04-17 20:32:41,5.4.0,48.0,Distributed Task Queue (development branch).,131742.0,131742.0,1345.0,https://pypi.org/project/celery,9824172.0,9824172.0,44,True,1,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2024-04-30 16:29:13,2024-04-30 16:28:27,8796.0,54.0,6596.0,625.0,4696.0,49.0,3835.0,27523,2022-11-08 10:37:57,3.14.0,17.0,Web APIs for Django.,661600.0,661600.0,1403.0,https://pypi.org/project/django-rest-framework,123514.0,123514.0,42,True,1,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2024-04-30 16:43:08,2024-04-27 23:45:19,16014.0,35.0,2973.0,394.0,4322.0,123.0,3383.0,9912,2024-02-09 15:04:51,3.11.5,14.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5169.0,5169.0,560.0,https://pypi.org/project/django-cms,76024.0,76024.0,40,True,1,-1.0,,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2024-04-30 01:30:54,2024-04-28 12:12:06,3111.0,155.0,2845.0,191.0,1514.0,55.0,2158.0,8902,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",218517.0,218517.0,702.0,https://pypi.org/project/django-allauth,822285.0,822285.0,40,True,1,,,,,,
5,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2024-04-27 16:13:05,2024-04-27 16:13:05,3624.0,3.0,1114.0,104.0,983.0,163.0,723.0,6422,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,219892.0,219892.0,577.0,https://pypi.org/project/django-extensions,3728806.0,3728806.0,38,True,1,,,,,,
6,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2024-04-30 15:22:59,2024-04-28 15:30:27,1424.0,17.0,731.0,65.0,785.0,19.0,976.0,2871,2024-04-28 15:24:44,4.0.0,30.0,Django application and library for importing and exporting data with admin integration.,96379.0,96379.0,207.0,https://pypi.org/project/django-import-export,1187102.0,1187102.0,38,True,1,,,,,,
7,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2024-04-30 21:01:49,2024-04-30 16:29:18,17403.0,501.0,3618.0,340.0,6726.0,830.0,4033.0,17226,2024-04-03 22:00:36,6.0.2,100.0,A Django content management system focused on flexibility and user experience.,8.0,8.0,914.0,https://pypi.org/project/wagtail,232679.0,232679.0,37,True,3,,,,,,
8,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2024-04-30 11:13:21,2024-04-28 13:50:26,1847.0,35.0,1368.0,207.0,896.0,178.0,949.0,9526,2024-03-09 02:35:10,1.16.1,29.0,Simple job queues for Python.,16361.0,16361.0,309.0,https://pypi.org/project/rq,1429500.0,1429500.0,37,True,2,,,,,,
9,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2024-04-30 14:44:12,2024-04-30 14:44:12,2584.0,29.0,907.0,112.0,1024.0,72.0,812.0,7907,2024-02-01 19:35:16,4.3,16.0,A configurable set of panels that display various debug information about the current request/response.,87471.0,87471.0,284.0,https://pypi.org/project/django-debug-toolbar,2682585.0,2682586.0,37,True,1,,213.0,,,,
10,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2024-04-29 11:49:57,2024-04-29 11:49:57,9049.0,30.0,2132.0,266.0,2790.0,83.0,1405.0,6097,2024-02-08 09:51:53,3.2.4,8.0,Domain-driven e-commerce for Django.,1092.0,1092.0,364.0,https://pypi.org/project/django-oscar,18938.0,18938.0,37,True,1,,,,,,
11,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-03-24 05:13:00,2023-10-06 20:15:26,1755.0,,798.0,143.0,542.0,110.0,877.0,7977,2023-07-26 06:47:55,3.3.0,59.0,GraphQL framework for Python.,20927.0,20927.0,207.0,https://pypi.org/project/graphene,6737681.0,6737681.0,36,True,1,,,,,,
