,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,new_addition,updated_github_id,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2024-05-31 20:11:50,2024-05-31 20:08:47,2921.0,124.0,1687.0,114.0,3570.0,406.0,3652.0,19185.0,2024-05-28 18:01:23,2.7.2,100.0,Data validation using Python type hints.,416970.0,416970.0,534.0,https://pypi.org/project/pydantic,194754049.0,194754049.0,46,True,1.0,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2024-05-30 17:03:06,2024-05-30 09:19:07,12544.0,62.0,4453.0,472.0,3366.0,646.0,4388.0,23766.0,2024-04-17 20:32:41,5.4.0,48.0,Distributed Task Queue (development branch).,134343.0,134343.0,1351.0,https://pypi.org/project/celery,11123244.0,11123244.0,44,True,1.0,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2024-05-30 05:35:56,2024-05-07 07:05:03,8797.0,46.0,6611.0,622.0,4701.0,51.0,3839.0,27621.0,2024-05-06 08:38:52,3.15.1,18.0,Web APIs for Django.,673849.0,673849.0,1403.0,https://pypi.org/project/django-rest-framework,119461.0,119461.0,43,True,1.0,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2024-05-30 14:40:47,2024-05-29 19:04:21,16104.0,81.0,2982.0,394.0,4349.0,121.0,3389.0,9966.0,2024-05-18 19:41:23,3.11.6,16.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5187.0,5187.0,565.0,https://pypi.org/project/django-cms,77354.0,77354.0,41,True,1.0,,,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2024-05-31 17:35:07,2024-05-31 17:32:26,3279.0,287.0,2874.0,191.0,1533.0,42.0,2227.0,8998.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",221037.0,221037.0,710.0,https://pypi.org/project/django-allauth,869755.0,869755.0,41,True,1.0,,,,,,
5,sentry,getsentry/sentry,,[],m-framework,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2024-05-31 23:28:02,2024-05-31 23:00:34,69731.0,4132.0,3950.0,686.0,58594.0,2302.0,9937.0,37234.0,2024-05-15 18:18:26,24.5.0,100.0,Developer-first error tracking and performance monitoring.,691.0,691.0,843.0,,,497.0,39,True,1.0,46271.0,,,,,
6,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2024-05-31 13:15:08,2024-05-30 15:11:57,1463.0,51.0,738.0,65.0,814.0,20.0,1007.0,2926.0,2024-05-30 16:57:46,4.0.7,36.0,Django application and library for importing and exporting data with admin integration.,97618.0,97618.0,210.0,https://pypi.org/project/django-import-export,1316644.0,1316644.0,39,True,1.0,,,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/jazzband/django-debug-toolbar,https://github.com/jazzband/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2024-05-30 13:46:04,2024-05-27 10:51:57,2598.0,30.0,912.0,112.0,1037.0,72.0,818.0,7936.0,2024-05-27 10:59:10,4.4.2,19.0,A configurable set of panels that display various debug information about the current request/response.,88890.0,88890.0,286.0,https://pypi.org/project/django-debug-toolbar,2810196.0,2810197.0,38,True,1.0,214.0,1.0,,,,
8,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2024-05-31 16:29:11,2024-05-30 14:28:50,17460.0,419.0,3641.0,337.0,6771.0,846.0,4054.0,17397.0,2024-05-30 14:21:38,6.0.5,100.0,A Django content management system focused on flexibility and user experience.,8.0,8.0,914.0,https://pypi.org/project/wagtail,246774.0,246774.0,37,True,3.0,,,,,,
9,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2024-05-26 02:37:55,2024-05-26 02:37:55,1867.0,34.0,1371.0,207.0,899.0,182.0,954.0,9577.0,2024-05-01 07:14:48,1.16.2,30.0,Simple job queues for Python.,16623.0,16623.0,315.0,https://pypi.org/project/rq,1396665.0,1396665.0,37,True,2.0,,,,,,
