,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,github_release_downloads,trending,updated_github_id,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2024-10-31 19:59:43,2024-10-30 15:07:14,3274.0,213.0,1853.0,117.0,4034.0,430.0,4174.0,20946.0,2024-09-17 14:59:21,2.9.2,100.0,Data validation using Python type hints.,544276.0,544276.0,584.0,https://pypi.org/project/pydantic,286772281.0,286772281.0,47,True,1.0,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2024-10-30 13:34:10,2024-10-30 13:31:42,12708.0,120.0,4521.0,473.0,3569.0,662.0,4443.0,24793.0,2024-04-17 20:32:41,5.4.0,53.0,Distributed Task Queue (development branch).,147892.0,147892.0,1383.0,https://pypi.org/project/celery,13458500.0,13458500.0,43,True,1.0,,,,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2024-10-31 12:10:00,2024-10-31 12:10:00,18081.0,350.0,3802.0,337.0,7067.0,854.0,4225.0,18238.0,2024-09-24 09:39:18,6.2.2,100.0,A Django content management system focused on flexibility and user experience.,10776.0,10776.0,949.0,https://pypi.org/project/wagtail,286049.0,286049.0,42,True,1.0,,,,,
3,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2024-10-23 14:09:36,2024-10-23 14:09:36,8827.0,17.0,6704.0,627.0,4759.0,57.0,3866.0,28364.0,2024-05-06 08:38:52,3.15.1,18.0,Web APIs for Django.,730520.0,730520.0,1419.0,https://pypi.org/project/django-rest-framework,115957.0,115957.0,41,True,1.0,,,,,
4,sentry,getsentry/sentry,sentry,[],apm,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2024-11-01 00:10:58,2024-10-31 22:55:30,75626.0,3205.0,4136.0,686.0,65033.0,2755.0,11130.0,39049.0,2024-10-17 19:10:15,24.10.0,100.0,Developer-first error tracking and performance monitoring.,467.0,467.0,883.0,https://pypi.org/project/sentry,11839.0,12325.0,40,True,1.0,44774.0,,,,
5,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2024-10-31 12:20:31,2024-10-31 12:20:26,16177.0,27.0,3036.0,397.0,4420.0,126.0,3421.0,10185.0,2024-10-08 13:13:36,4.1.3,19.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5313.0,5313.0,574.0,https://pypi.org/project/django-cms,88054.0,88054.0,40,True,3.0,,,,,
6,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2024-10-31 15:57:42,2024-10-31 15:57:03,3524.0,150.0,2936.0,197.0,1617.0,1.0,2385.0,9528.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",231563.0,231563.0,733.0,https://pypi.org/project/django-allauth,2190682.0,2190682.0,40,True,1.0,,,,,
7,loguru,Delgan/loguru,loguru,[],logging,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2024-10-20 10:56:30,2024-10-20 10:49:45,846.0,16.0,691.0,142.0,200.0,196.0,825.0,19855.0,2023-09-11 15:25:24,0.7.2,21.0,Python logging made (stupidly) simple.,100444.0,100444.0,53.0,https://pypi.org/project/loguru,35903386.0,35903386.0,38,True,1.0,,,,,
8,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-10-27 20:19:22,2024-10-27 20:16:40,1783.0,10.0,806.0,141.0,567.0,90.0,907.0,8086.0,2024-10-27 20:19:22,3.4.1,61.0,GraphQL framework for Python.,24066.0,24066.0,208.0,https://pypi.org/project/graphene,12897369.0,12897369.0,38,True,1.0,,2.0,,,
9,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/django-commons/django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2024-10-31 16:49:46,2024-10-31 16:49:46,2677.0,42.0,935.0,112.0,1105.0,61.0,858.0,8082.0,2024-09-02 00:58:11,5.0.0-alpha,24.0,A configurable set of panels that display various debug information about the current request/response.,95021.0,95021.0,301.0,https://pypi.org/project/django-debug-toolbar,3087988.0,3087989.0,38,True,1.0,235.0,,django-commons/django-debug-toolbar,,
