,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,trending,updated_github_id,github_release_downloads,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-01-30 07:26:44,2025-01-29 17:55:51,3450.0,175.0,1959.0,126.0,4275.0,463.0,4417.0,22229,2025-01-24 01:32:59,2.10.6,100.0,Data validation using Python type hints.,637679.0,637679.0,598.0,https://pypi.org/project/pydantic,282747146.0,282747146.0,46,True,1.0,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-01-29 14:37:39,2025-01-29 14:37:39,12753.0,45.0,4562.0,469.0,3470.0,663.0,4417.0,25384,2024-04-17 20:32:41,5.4.0,56.0,Distributed Task Queue (development branch).,156710.0,156710.0,1392.0,https://pypi.org/project/celery,13246860.0,13246860.0,43,True,1.0,1.0,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-01-30 10:03:11,2025-01-30 10:03:11,8839.0,12.0,6744.0,628.0,4745.0,58.0,3857.0,28714,2024-12-28 10:24:43,3.15.2,19.0,Web APIs for Django.,762833.0,762833.0,1422.0,https://pypi.org/project/django-rest-framework,110860.0,110860.0,42,True,1.0,1.0,,,,,
3,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-01-29 20:53:58,2025-01-29 20:53:52,18447.0,351.0,3920.0,337.0,7256.0,852.0,4329.0,18664,2025-01-02 12:01:32,6.3.2,100.0,A Django content management system focused on flexibility and user experience.,11099.0,11099.0,971.0,https://pypi.org/project/wagtail,260272.0,260272.0,42,True,1.0,,,,,,
4,loguru,Delgan/loguru,loguru,[],logging,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2025-01-23 19:02:22,2025-01-23 18:58:37,915.0,69.0,708.0,144.0,227.0,202.0,853.0,20643,2024-12-06 11:25:42,0.7.3,22.0,Python logging made (stupidly) simple.,112374.0,112374.0,63.0,https://pypi.org/project/loguru,31882492.0,31882492.0,40,True,1.0,,,,,,
5,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-01-30 07:36:37,2025-01-30 07:08:20,16207.0,30.0,3054.0,395.0,4468.0,118.0,3449.0,10315,2024-11-13 07:54:35,4.1.4,22.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5370.0,5370.0,576.0,https://pypi.org/project/django-cms,80638.0,80638.0,40,True,3.0,,,,,,
6,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2025-01-24 14:44:12,2025-01-24 14:43:48,3596.0,68.0,2974.0,201.0,1622.0,1.0,2389.0,9726,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",238148.0,238148.0,750.0,https://pypi.org/project/django-allauth,1072437.0,1072437.0,40,True,1.0,,,,,,
7,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/django-commons/django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2025-01-30 01:34:42,2025-01-28 00:31:03,2705.0,28.0,938.0,112.0,1126.0,66.0,866.0,8145,2025-01-14 02:39:23,5.0.1,26.0,A configurable set of panels that display various debug information about the current request/response.,98510.0,98510.0,304.0,https://pypi.org/project/django-debug-toolbar,3139816.0,3139817.0,39,True,1.0,,django-commons/django-debug-toolbar,248.0,,,
8,sentry,getsentry/sentry,,[],monitoring-framework,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2025-01-30 09:58:27,2025-01-30 09:19:05,78883.0,3237.0,4194.0,684.0,68560.0,2029.0,12428.0,39741,2025-01-15 17:26:34,25.1.0,100.0,Developer-first error tracking and performance monitoring.,508.0,508.0,900.0,,,462.0,38,True,1.0,,,40718.0,,,
9,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,4.0,810.0,141.0,570.0,89.0,910.0,8137,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,25653.0,25653.0,211.0,https://pypi.org/project/graphene,10859215.0,10859215.0,38,True,1.0,,,,,,
