,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,new_addition,trending,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-02-10 21:21:45,2025-02-10 11:28:59,3478.0,170.0,1972.0,127.0,4306.0,464.0,4440.0,22390,2025-01-24 01:32:59,2.10.6,100.0,Data validation using Python type hints.,654006.0,654006.0,604.0,https://pypi.org/project/pydantic,293903765.0,293903765.0,46,True,1.0,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-02-11 09:08:47,2025-02-11 08:20:23,12766.0,52.0,4567.0,469.0,3486.0,662.0,4420.0,25511,2024-04-17 20:32:41,5.4.0,56.0,Distributed Task Queue (development branch).,158115.0,158115.0,1394.0,https://pypi.org/project/celery,14407024.0,14407024.0,43,True,1.0,,,,,,
2,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-02-01 06:24:43,2025-02-01 06:24:43,8840.0,12.0,6749.0,629.0,4749.0,61.0,3857.0,28765,2024-12-28 10:24:43,3.15.2,19.0,Web APIs for Django.,768038.0,768038.0,1423.0,https://pypi.org/project/django-rest-framework,125061.0,125061.0,42,True,1.0,,,,,,
3,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-02-11 14:58:31,2025-02-11 14:58:31,18491.0,332.0,3939.0,340.0,7276.0,850.0,4343.0,18723,2025-02-03 17:26:52,5.2.8,100.0,A Django content management system focused on flexibility and user experience.,11155.0,11155.0,973.0,https://pypi.org/project/wagtail,299386.0,299386.0,42,True,1.0,,,,,,
4,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-02-10 13:47:14,2025-02-10 10:40:46,16220.0,31.0,3057.0,396.0,4479.0,102.0,3469.0,10331,2024-11-13 07:54:35,4.1.4,22.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5380.0,5380.0,577.0,https://pypi.org/project/django-cms,80546.0,80546.0,40,True,3.0,,,,,,
5,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2025-02-07 09:35:00,2025-02-07 09:25:09,3614.0,65.0,2974.0,201.0,1623.0,1.0,2389.0,9754,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",239165.0,239165.0,752.0,https://pypi.org/project/django-allauth,1247712.0,1247712.0,40,True,1.0,,,,,,
6,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/django-commons/django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2025-02-11 11:18:18,2025-02-04 05:38:00,2706.0,25.0,939.0,113.0,1130.0,71.0,868.0,8158,2025-01-14 02:39:23,5.0.1,26.0,A configurable set of panels that display various debug information about the current request/response.,99001.0,99001.0,304.0,https://pypi.org/project/django-debug-toolbar,3546037.0,3546038.0,40,True,1.0,django-commons/django-debug-toolbar,248.0,,,,
7,loguru,Delgan/loguru,loguru,[],logging,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2025-02-11 14:33:18,2025-02-11 14:33:11,923.0,72.0,710.0,143.0,231.0,205.0,854.0,20769,2024-12-06 11:25:42,0.7.3,22.0,Python logging made (stupidly) simple.,114145.0,114145.0,64.0,https://pypi.org/project/loguru,23922379.0,23922379.0,39,True,1.0,,,,,,
8,sentry,getsentry/sentry,,[],monitoring-framework,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2025-02-11 16:04:35,2025-02-11 15:57:02,79421.0,3327.0,4207.0,687.0,69142.0,2049.0,12476.0,39988,2025-01-15 17:26:34,25.1.0,100.0,Developer-first error tracking and performance monitoring.,510.0,510.0,903.0,,,457.0,38,True,1.0,,40730.0,,,,
9,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2025-01-17 19:34:21,2025-01-17 19:34:21,3630.0,6.0,1126.0,102.0,1004.0,175.0,730.0,6619,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,237336.0,237336.0,579.0,https://pypi.org/project/django-extensions,4884242.0,4884242.0,38,True,1.0,,,,,,
