,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-02-22 15:29:02,2025-02-21 22:50:06,3491.0,151.0,1991.0,128.0,4328.0,453.0,4470.0,22539.0,2025-01-24 01:32:59,2.10.6,100.0,Data validation using Python type hints.,670064.0,670064.0,604.0,https://pypi.org/project/pydantic,288579031.0,288579031.0,46,True,1.0,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-02-21 12:29:44,2025-02-21 12:29:44,12777.0,55.0,4578.0,469.0,3494.0,664.0,4422.0,25626.0,2024-04-17 20:32:41,5.4.0,56.0,Distributed Task Queue (development branch).,159616.0,159616.0,1398.0,https://pypi.org/project/celery,14468336.0,14468336.0,43,True,1.0,,,,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-02-21 21:07:45,2025-02-21 21:07:45,18539.0,329.0,3959.0,342.0,7306.0,855.0,4353.0,18786.0,2025-02-21 16:27:54,6.4.1,100.0,A Django content management system focused on flexibility and user experience.,11193.0,11193.0,976.0,https://pypi.org/project/wagtail,295731.0,295731.0,42,True,1.0,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-02-22 18:51:22,2025-02-22 08:55:14,16230.0,41.0,3065.0,396.0,4493.0,97.0,3476.0,10353.0,2024-11-13 07:54:35,4.1.4,22.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5391.0,5391.0,580.0,https://pypi.org/project/django-cms,70876.0,70876.0,40,True,3.0,,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2025-02-22 10:08:06,2025-02-22 09:49:52,3627.0,76.0,2975.0,201.0,1623.0,1.0,2390.0,9780.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",241058.0,241058.0,752.0,https://pypi.org/project/django-allauth,1244659.0,1244659.0,40,True,1.0,,,,,
5,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/django-commons/django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2025-02-17 21:36:00,2025-02-14 22:41:44,2708.0,27.0,939.0,113.0,1133.0,73.0,869.0,8176.0,2025-01-14 02:39:23,5.0.1,26.0,A configurable set of panels that display various debug information about the current request/response.,99477.0,99477.0,305.0,https://pypi.org/project/django-debug-toolbar,3572235.0,3572236.0,40,True,1.0,django-commons/django-debug-toolbar,248.0,,,
6,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-02-20 09:52:15,2025-02-17 08:01:32,8842.0,13.0,6757.0,629.0,4752.0,,,28820.0,2024-12-28 10:24:43,3.15.2,19.0,Web APIs for Django.,773636.0,773636.0,1424.0,https://pypi.org/project/django-rest-framework,122799.0,122799.0,39,True,1.0,,,,,
7,loguru,Delgan/loguru,loguru,[],logging,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2025-02-22 19:44:20,2025-02-22 19:34:14,939.0,65.0,712.0,143.0,237.0,207.0,863.0,20864.0,2024-12-06 11:25:42,0.7.3,22.0,Python logging made (stupidly) simple.,115937.0,115937.0,66.0,https://pypi.org/project/loguru,17166078.0,17166078.0,39,True,1.0,,,,,
8,sentry,getsentry/sentry,,[],monitoring-framework,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2025-02-22 12:27:42,2025-02-22 01:55:05,80014.0,3507.0,4213.0,687.0,69810.0,2106.0,12510.0,40078.0,2025-02-18 19:23:53,25.2.0,100.0,Developer-first error tracking and performance monitoring.,516.0,516.0,904.0,,,453.0,38,True,1.0,,39905.0,,,
9,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2025-01-17 19:34:21,2025-01-17 19:34:21,3630.0,4.0,1131.0,102.0,1005.0,175.0,730.0,6628.0,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,239189.0,239189.0,579.0,https://pypi.org/project/django-extensions,4917069.0,4917069.0,38,True,1.0,,,,,
10,django-import-export,django-import-export/django-import-export,django-import-export,[],admin-interface-actions,https://github.com/django-import-export/django-import-export,https://github.com/django-import-export/django-import-export,BSD-2-Clause,2012-11-15 13:12:22,2025-02-21 11:22:44,2025-02-21 11:21:30,1570.0,22.0,756.0,62.0,912.0,19.0,1079.0,3137.0,2025-02-21 11:22:44,4.3.6,51.0,Django application and library for importing and exporting data with admin integration.,106926.0,106926.0,229.0,https://pypi.org/project/django-import-export,1333227.0,1333227.0,38,True,1.0,,,,,
11,rq,rq/rq,rq,[],task-queues,https://github.com/rq/rq,https://github.com/rq/rq,,2011-11-14 10:53:48,2025-02-04 00:00:41,2025-02-03 23:59:17,1920.0,15.0,1402.0,206.0,953.0,200.0,974.0,10033.0,2024-12-23 13:13:31,2.1,32.0,Simple job queues for Python.,18861.0,18861.0,328.0,https://pypi.org/project/rq,1718978.0,1718978.0,37,True,2.0,,,,,
12,graphene,graphql-python/graphene,graphene,[],graphql-api,https://github.com/graphql-python/graphene,https://github.com/graphql-python/graphene,MIT,2015-09-24 09:18:18,2024-11-09 20:43:58,2024-11-09 20:43:17,1787.0,,811.0,141.0,571.0,91.0,910.0,8143.0,2024-11-09 20:43:58,3.4.3,63.0,GraphQL framework for Python.,26098.0,26098.0,211.0,https://pypi.org/project/graphene,11557967.0,11557967.0,37,True,1.0,,,,,
13,django-oscar,django-oscar/django-oscar,django-oscar,[],ecommerce-framework,https://github.com/django-oscar/django-oscar,https://github.com/django-oscar/django-oscar,BSD-3-Clause,2010-12-08 21:30:32,2025-02-19 14:19:45,2025-02-19 14:06:11,9155.0,30.0,2188.0,271.0,2917.0,92.0,1416.0,6345.0,2024-09-20 11:17:48,3.2.5,10.0,Domain-driven e-commerce for Django.,1148.0,1148.0,372.0,https://pypi.org/project/django-oscar,27610.0,27610.0,37,True,1.0,,,,,
