,name,github_id,pypi_id,labels,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,updated_github_id,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
0,pydantic,pydantic/pydantic,pydantic,[],pydantic-integration,https://github.com/pydantic/pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-02-28 19:14:29,2025-02-28 19:11:48,3507.0,160.0,1996.0,129.0,4341.0,451.0,4483.0,22623.0,2025-01-24 01:32:59,2.10.6,100.0,Data validation using Python type hints.,679418.0,679418.0,605.0,https://pypi.org/project/pydantic,285071261.0,285071261.0,46,True,1.0,,,,,,
1,celery,celery/celery,celery,[],task-queues,https://github.com/celery/celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-02-27 15:03:19,2025-02-27 15:03:17,12783.0,56.0,4586.0,471.0,3505.0,666.0,4425.0,25675.0,2024-04-17 20:32:41,5.4.0,57.0,Distributed Task Queue (development branch).,160459.0,160459.0,1399.0,https://pypi.org/project/celery,14232748.0,14232748.0,43,True,1.0,,,,,,
2,wagtail,wagtail/wagtail,wagtail,[],cms-framework,https://github.com/wagtail/wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-02-24 15:17:08,2025-02-24 15:16:50,18565.0,335.0,3964.0,339.0,7314.0,856.0,4356.0,18816.0,2025-02-21 16:27:54,6.4.1,100.0,A Django content management system focused on flexibility and user experience.,11217.0,11217.0,976.0,https://pypi.org/project/wagtail,294136.0,294136.0,42,True,1.0,,,,,,
3,django-cms,django-cms/django-cms,django-cms,[],cms-framework,https://github.com/django-cms/django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-02-28 19:42:45,2025-02-28 17:26:35,16238.0,47.0,3066.0,396.0,4500.0,95.0,3480.0,10361.0,2024-11-13 07:54:35,4.1.4,22.0,The easy-to-use and developer-friendly enterprise CMS powered by Django.,5393.0,5393.0,580.0,https://pypi.org/project/django-cms,73900.0,73900.0,41,True,3.0,,,,,,
4,django-allauth,pennersr/django-allauth,django-allauth,[],authentication-authorization,https://github.com/pennersr/django-allauth,https://github.com/pennersr/django-allauth,MIT,2010-10-10 20:10:52,2025-02-26 12:26:15,2025-02-26 12:25:48,3632.0,75.0,2977.0,200.0,1623.0,1.0,2390.0,9792.0,,,,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party..",242312.0,242312.0,754.0,https://pypi.org/project/django-allauth,1217384.0,1217384.0,40,True,1.0,,,,,,
5,django-debug-toolbar,jazzband/django-debug-toolbar,django-debug-toolbar,[],debugging,https://github.com/django-commons/django-debug-toolbar,https://github.com/django-commons/django-debug-toolbar,BSD-3-Clause,2008-08-28 06:58:04,2025-02-27 15:35:45,2025-02-26 18:52:16,2714.0,31.0,940.0,113.0,1139.0,71.0,872.0,8182.0,2025-01-14 02:39:23,5.0.1,26.0,A configurable set of panels that display various debug information about the current request/response.,99760.0,99760.0,307.0,https://pypi.org/project/django-debug-toolbar,3474818.0,3474819.0,40,True,1.0,django-commons/django-debug-toolbar,248.0,,,,
6,django-rest-framework,encode/django-rest-framework,django-rest-framework,[],restful-api-drf,https://github.com/encode/django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-02-27 11:27:41,2025-02-27 11:27:32,8844.0,15.0,6764.0,630.0,4757.0,,,28853.0,2024-12-28 10:24:43,3.15.2,19.0,Web APIs for Django.,776921.0,776921.0,1425.0,https://pypi.org/project/django-rest-framework,120941.0,120941.0,39,True,1.0,,,,,,
7,loguru,Delgan/loguru,loguru,[],logging,https://github.com/Delgan/loguru,https://github.com/Delgan/loguru,MIT,2017-08-15 17:22:32,2025-02-25 21:40:48,2025-02-25 21:32:44,940.0,63.0,712.0,143.0,237.0,206.0,865.0,20923.0,2024-12-06 11:25:42,0.7.3,22.0,Python logging made (stupidly) simple.,117047.0,117047.0,66.0,https://pypi.org/project/loguru,17059848.0,17059848.0,39,True,1.0,,,,,,
8,sentry,getsentry/sentry,,[],monitoring-framework,https://github.com/getsentry/sentry,https://github.com/getsentry/sentry,,2010-08-30 22:06:41,2025-03-01 00:14:13,2025-02-28 22:57:16,80373.0,3717.0,4216.0,686.0,70186.0,2132.0,12538.0,40139.0,2025-02-18 19:23:53,25.2.0,100.0,Developer-first error tracking and performance monitoring.,516.0,516.0,904.0,,,448.0,38,True,1.0,,39905.0,,,,
9,django-extensions,django-extensions/django-extensions,django-extensions,[],management-commands,https://github.com/django-extensions/django-extensions,https://github.com/django-extensions/django-extensions,MIT,2009-03-21 16:11:19,2025-01-17 19:34:21,2025-01-17 19:34:21,3630.0,4.0,1131.0,102.0,1006.0,176.0,730.0,6638.0,2023-06-07 11:23:14,3.2.3,5.0,This is a repository for collecting global custom management extensions for the Django Framework.,240420.0,240420.0,579.0,https://pypi.org/project/django-extensions,4770623.0,4770623.0,38,True,1.0,,,,,,
