,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,github_release_downloads,new_addition,gitlab_id,gitlab_url
0,Codefresh GitOps Platform,https://codefresh.io/,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garden Cloud,https://app.garden.io/login,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,atatus APM,https://www.atatus.com/application-monitoring/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CheckMK Cloud SaaS,https://checkmk.com/product/checkmk-cloud-saas,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DataDog APM,https://www.datadoghq.com/product/apm/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Honeycomb Observability Platform,https://www.honeycomb.io/platform,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pydantic Logfire,https://pydantic.dev/logfire,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Paessler Application Monitoring,https://www.paessler.com/application-monitoring,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scout APM,https://www.scoutapm.com/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sentry APM,https://sentry.io/for/performance/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Solarwinds Observability SaaS,https://www.solarwinds.com/solarwinds-observability,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pydantic,https://github.com/pydantic/pydantic,,[],pydantic-integration,Data validation using Python type hints.,46,True,pydantic/pydantic,pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-05-21 20:11:48,2025-05-21 08:11:12,3601.0,111.0,2092.0,133.0,4468.0,447.0,4680.0,23932.0,2025-04-29 20:25:45,2.11.4,100.0,837383.0,837383.0,622.0,https://pypi.org/project/pydantic,347172784.0,347172784.0,1.0,,,,,,
12,celery,https://github.com/celery/celery,,[],task-queues,Distributed Task Queue (development branch).,44,True,celery/celery,celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-05-21 06:44:12,2025-05-21 06:44:10,12830.0,53.0,4637.0,470.0,3574.0,669.0,4450.0,26404.0,2025-04-25 20:10:41,5.5.2,60.0,173181.0,173181.0,1416.0,https://pypi.org/project/celery,21096369.0,21096369.0,1.0,,,,,,
13,django-rest-framework,https://github.com/encode/django-rest-framework,,[],restful-api-drf,Web APIs for Django.,42,True,encode/django-rest-framework,django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-05-13 14:10:21,2025-05-13 14:10:21,8866.0,24.0,6807.0,624.0,4792.0,58.0,3868.0,29139.0,2025-03-28 14:28:49,3.16.0,20.0,834681.0,834681.0,1437.0,https://pypi.org/project/django-rest-framework,129144.0,129144.0,1.0,,,,,,
14,wagtail,https://github.com/wagtail/wagtail,,[],cms-framework,A Django content management system focused on flexibility and user experience.,41,True,wagtail/wagtail,wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-05-20 16:35:44,2025-05-20 16:35:31,18866.0,327.0,4032.0,335.0,7431.0,863.0,4424.0,19274.0,2025-05-06 15:26:27,7.0,100.0,11551.0,11551.0,995.0,https://pypi.org/project/wagtail,304216.0,304216.0,1.0,-1.0,,,,,
15,django-cms,https://github.com/django-cms/django-cms,,[],cms-framework,The easy-to-use and developer-friendly enterprise CMS powered by Django.,41,True,django-cms/django-cms,django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-05-22 06:42:59,2025-05-22 06:40:51,16280.0,51.0,3091.0,395.0,4562.0,54.0,3529.0,10447.0,2025-05-21 15:46:59,5.0.1,28.0,5445.0,5445.0,584.0,https://pypi.org/project/django-cms,80678.0,80678.0,1.0,,,,,,
