,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,updated_github_id,github_release_downloads,trending,new_addition,gitlab_id,gitlab_url
0,Codefresh GitOps Platform,https://codefresh.io/,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garden Cloud,https://app.garden.io/login,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,atatus APM,https://www.atatus.com/application-monitoring/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CheckMK Cloud SaaS,https://checkmk.com/product/checkmk-cloud-saas,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DataDog APM,https://www.datadoghq.com/product/apm/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Honeycomb Observability Platform,https://www.honeycomb.io/platform,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pydantic Logfire,https://pydantic.dev/logfire,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Paessler Application Monitoring,https://www.paessler.com/application-monitoring,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scout APM,https://www.scoutapm.com/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sentry APM,https://sentry.io/for/performance/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Solarwinds Observability SaaS,https://www.solarwinds.com/solarwinds-observability,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pydantic,https://github.com/pydantic/pydantic,,[],pydantic-integration,Data validation using Python type hints.,46,True,pydantic/pydantic,pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-05-26 07:31:38,2025-05-23 08:59:12,3603.0,105.0,2095.0,133.0,4473.0,450.0,4686.0,23967.0,2025-05-23 08:58:29,2.11.5,100.0,847092.0,847092.0,622.0,https://pypi.org/project/pydantic,350916829.0,350916829.0,1.0,,,,,,
12,celery,https://github.com/celery/celery,,[],task-queues,Distributed Task Queue (development branch).,44,True,celery/celery,celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-05-23 20:11:50,2025-05-23 20:11:50,12831.0,49.0,4639.0,470.0,3577.0,672.0,4450.0,26434.0,2025-04-25 20:10:41,5.5.2,60.0,174080.0,174080.0,1417.0,https://pypi.org/project/celery,22242478.0,22242478.0,1.0,,,,,,
13,django-rest-framework,https://github.com/encode/django-rest-framework,,[],restful-api-drf,Web APIs for Django.,42,True,encode/django-rest-framework,django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-05-25 10:07:43,2025-05-25 10:07:43,8867.0,25.0,6810.0,624.0,4793.0,59.0,3869.0,29151.0,2025-03-28 14:28:49,3.16.0,20.0,837383.0,837383.0,1437.0,https://pypi.org/project/django-rest-framework,140111.0,140111.0,1.0,,,,,,
14,wagtail,https://github.com/wagtail/wagtail,,[],cms-framework,A Django content management system focused on flexibility and user experience.,41,True,wagtail/wagtail,wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-05-23 10:30:26,2025-05-23 10:17:02,18874.0,309.0,4031.0,335.0,7433.0,863.0,4425.0,19292.0,2025-05-06 15:26:27,7.0,100.0,11565.0,11565.0,995.0,https://pypi.org/project/wagtail,345240.0,345240.0,1.0,,,,,,
15,django-cms,https://github.com/django-cms/django-cms,,[],cms-framework,The easy-to-use and developer-friendly enterprise CMS powered by Django.,41,True,django-cms/django-cms,django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-05-26 07:02:03,2025-05-26 06:58:36,16283.0,49.0,3092.0,395.0,4563.0,42.0,3542.0,10455.0,2025-05-21 15:46:59,5.0.1,28.0,5447.0,5447.0,585.0,https://pypi.org/project/django-cms,85980.0,85980.0,1.0,,,,,,
