,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,trending,updated_github_id,github_release_downloads,gitlab_id,gitlab_url
0,Codefresh GitOps Platform,https://codefresh.io/,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garden Cloud,https://app.garden.io/login,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,atatus APM,https://www.atatus.com/application-monitoring/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CheckMK Cloud SaaS,https://checkmk.com/product/checkmk-cloud-saas,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DataDog APM,https://www.datadoghq.com/product/apm/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Honeycomb Observability Platform,https://www.honeycomb.io/platform,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pydantic Logfire,https://pydantic.dev/logfire,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Paessler Application Monitoring,https://www.paessler.com/application-monitoring,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scout APM,https://www.scoutapm.com/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sentry APM,https://sentry.io/for/performance/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Solarwinds Observability SaaS,https://www.solarwinds.com/solarwinds-observability,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pydantic,https://github.com/pydantic/pydantic,,[],pydantic-integration,Data validation using Python type hints.,46,True,pydantic/pydantic,pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-06-30 20:04:54,2025-06-26 06:45:23,3619.0,80.0,2126.0,132.0,4505.0,469.0,4728.0,24337.0,2025-06-14 08:34:13,2.11.7,100.0,890109.0,890109.0,625.0,https://pypi.org/project/pydantic,373638950.0,373638950.0,1.0,,,,,
12,celery,https://github.com/celery/celery,,[],task-queues,Distributed Task Queue (development branch).,43,True,celery/celery,celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-06-25 16:20:36,2025-06-25 16:20:36,12845.0,38.0,4653.0,468.0,3603.0,675.0,4461.0,26708.0,2025-06-01 11:08:20,5.5.3,61.0,178210.0,178210.0,1421.0,https://pypi.org/project/celery,23086690.0,23086690.0,1.0,,,,,
13,wagtail,https://github.com/wagtail/wagtail,,[],cms-framework,A Django content management system focused on flexibility and user experience.,43,True,wagtail/wagtail,wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-06-30 16:02:02,2025-06-30 16:01:06,18995.0,359.0,4055.0,335.0,7472.0,855.0,4448.0,19394.0,2025-06-12 15:40:24,7.0.1,100.0,11638.0,11638.0,1005.0,https://pypi.org/project/wagtail,585316.0,585316.0,1.0,2.0,,,,
14,django-rest-framework,https://github.com/encode/django-rest-framework,,[],restful-api-drf,Web APIs for Django.,42,True,encode/django-rest-framework,django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-06-26 17:39:51,2025-06-26 17:39:51,8870.0,19.0,6840.0,621.0,4806.0,61.0,3875.0,29255.0,2025-03-28 14:28:49,3.16.0,20.0,848149.0,848149.0,1438.0,https://pypi.org/project/django-rest-framework,145805.0,145805.0,1.0,,,,,
15,django-cms,https://github.com/django-cms/django-cms,,[],cms-framework,The easy-to-use and developer-friendly enterprise CMS powered by Django.,40,True,django-cms/django-cms,django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-06-30 15:58:01,2025-06-30 10:04:30,16298.0,39.0,3098.0,393.0,4592.0,32.0,3558.0,10485.0,2025-05-21 15:46:59,5.0.1,28.0,5464.0,5464.0,586.0,https://pypi.org/project/django-cms,113093.0,113093.0,3.0,,,,,
