,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank_placing,updated_github_id,github_release_downloads,trending,gitlab_id,gitlab_url
0,Codefresh GitOps Platform,https://codefresh.io/,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garden Cloud,https://app.garden.io/login,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,atatus APM,https://www.atatus.com/application-monitoring/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CheckMK Cloud SaaS,https://checkmk.com/product/checkmk-cloud-saas,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DataDog APM,https://www.datadoghq.com/product/apm/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Honeycomb Observability Platform,https://www.honeycomb.io/platform,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pydantic Logfire,https://pydantic.dev/logfire,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Paessler Application Monitoring,https://www.paessler.com/application-monitoring,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scout APM,https://www.scoutapm.com/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sentry APM,https://sentry.io/for/performance/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Solarwinds Observability SaaS,https://www.solarwinds.com/solarwinds-observability,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pydantic,https://github.com/pydantic/pydantic,,[],pydantic-integration,Data validation using Python type hints.,46,True,pydantic/pydantic,pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-07-29 11:38:21,2025-07-29 11:35:25,3636.0,49.0,2168.0,131.0,4520.0,477.0,4768.0,24715.0,2025-06-14 08:34:13,2.11.7,100.0,897430.0,897430.0,629.0,https://pypi.org/project/pydantic,366887849.0,366887849.0,1.0,,,,,
12,celery,https://github.com/celery/celery,,[],task-queues,Distributed Task Queue (development branch).,44,True,celery/celery,celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-07-31 23:40:03,2025-07-31 23:40:02,12857.0,43.0,4669.0,466.0,3627.0,675.0,4473.0,26908.0,2025-06-01 11:08:20,5.5.3,61.0,179055.0,179055.0,1424.0,https://pypi.org/project/celery,23268366.0,23268366.0,1.0,,,,,
13,wagtail,https://github.com/wagtail/wagtail,,[],cms-framework,A Django content management system focused on flexibility and user experience.,42,True,wagtail/wagtail,wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-07-29 14:59:20,2025-07-29 14:59:06,19195.0,395.0,4074.0,336.0,7541.0,850.0,4484.0,19463.0,2025-07-24 12:07:43,7.0.2,100.0,11667.0,11667.0,1008.0,https://pypi.org/project/wagtail,408275.0,408275.0,1.0,,,,,
14,django-rest-framework,https://github.com/encode/django-rest-framework,,[],restful-api-drf,Web APIs for Django.,41,True,encode/django-rest-framework,django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-07-24 07:47:47,2025-07-24 07:47:47,8873.0,8.0,6849.0,620.0,4812.0,58.0,3884.0,29350.0,2025-03-28 14:28:49,3.16.0,20.0,848974.0,848974.0,1440.0,https://pypi.org/project/django-rest-framework,157339.0,157339.0,1.0,,,,,
15,django-cms,https://github.com/django-cms/django-cms,,[],cms-framework,The easy-to-use and developer-friendly enterprise CMS powered by Django.,40,True,django-cms/django-cms,django-cms,https://github.com/django-cms/django-cms,BSD-3-Clause,2009-03-05 10:14:18,2025-07-31 16:50:41,2025-07-31 15:49:32,16311.0,41.0,3102.0,392.0,4613.0,33.0,3562.0,10507.0,2025-07-17 14:09:23,5.0.2,30.0,5467.0,5467.0,588.0,https://pypi.org/project/django-cms,99940.0,99940.0,3.0,,,,,
