,name,homepage,resource,labels,category,description,projectrank,show,github_id,pypi_id,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,projectrank_placing,trending,updated_github_id,gitlab_id,gitlab_url
0,Codefresh GitOps Platform,https://codefresh.io/,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Garden Cloud,https://app.garden.io/login,True,[],k8s-cicd-saas,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,atatus APM,https://www.atatus.com/application-monitoring/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CheckMK Cloud SaaS,https://checkmk.com/product/checkmk-cloud-saas,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,DataDog APM,https://www.datadoghq.com/product/apm/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Honeycomb Observability Platform,https://www.honeycomb.io/platform,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Pydantic Logfire,https://pydantic.dev/logfire,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Paessler Application Monitoring,https://www.paessler.com/application-monitoring,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Scout APM,https://www.scoutapm.com/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Sentry APM,https://sentry.io/for/performance/,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Solarwinds Observability SaaS,https://www.solarwinds.com/solarwinds-observability,True,[],aps,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ruff,https://github.com/astral-sh/ruff,,[],sca,"An extremely fast Python linter and code formatter, written in Rust.",47,True,astral-sh/ruff,ruff,https://github.com/astral-sh/ruff,MIT,2022-08-09 17:17:44,2025-11-30 16:17:59,2025-11-30 15:49:06,12989.0,988.0,1619.0,89.0,13522.0,1616.0,5906.0,44099.0,2025-11-28 21:03:33,0.14.7,3039313.0,100515416.0,100.0,132597.0,132597.0,755.0,https://pypi.org/project/ruff,100377266.0,1.0,39.0,,,
12,pydantic,https://github.com/pydantic/pydantic,,[],pydantic-integration,Data validation using Python type hints.,47,True,pydantic/pydantic,pydantic,https://github.com/pydantic/pydantic,MIT,2017-05-03 21:23:58,2025-11-30 15:04:22,2025-11-30 14:59:50,5312.0,239.0,2317.0,132.0,4745.0,499.0,4957.0,25982.0,2025-11-26 15:01:16,2.12.5,,556271918.0,100.0,925984.0,925984.0,713.0,https://pypi.org/project/pydantic,556271918.0,1.0,,,,
13,celery,https://github.com/celery/celery,,[],task-queues,Distributed Task Queue (development branch).,45,True,celery/celery,celery,https://github.com/celery/celery,,2009-04-24 11:31:24,2025-11-30 17:40:27,2025-11-30 17:20:43,12942.0,65.0,4761.0,454.0,3732.0,677.0,4499.0,27642.0,2025-11-30 17:40:27,5.6.0,,29633821.0,66.0,182178.0,182178.0,1449.0,https://pypi.org/project/celery,29633821.0,1.0,,,,
14,wagtail,https://github.com/wagtail/wagtail,,[],cms-framework,A Django content management system focused on flexibility and user experience.,43,True,wagtail/wagtail,wagtail,https://github.com/wagtail/wagtail,BSD-3-Clause,2014-02-03 12:41:59,2025-11-28 19:54:55,2025-11-28 19:53:59,19484.0,193.0,4215.0,335.0,7728.0,857.0,4562.0,19884.0,2025-11-26 17:54:02,7.2.1,,481730.0,100.0,11753.0,11753.0,1037.0,https://pypi.org/project/wagtail,481730.0,1.0,,,,
15,django-rest-framework,https://github.com/encode/django-rest-framework,,[],restful-api-drf,Web APIs for Django.,42,True,encode/django-rest-framework,django-rest-framework,https://github.com/encode/django-rest-framework,,2011-03-02 17:13:56,2025-11-29 13:36:58,2025-11-29 13:36:58,8918.0,31.0,6899.0,609.0,4876.0,45.0,3901.0,29702.0,2025-08-06 17:56:01,3.16.1,,140009.0,21.0,851500.0,851500.0,1460.0,https://pypi.org/project/django-rest-framework,140009.0,1.0,,,,
